customer_id,revenue,segment_tier
200001,444.96,mid_value
200002,219.78,mid_value
200003,18828.79,high_value
200004,1353.44,high_value
200005,18269.37,high_value
200006,210.48,mid_value
200007,503.24,mid_value
200008,26804.9,high_value
200009,1577.5,high_value
200010,411.64,mid_value
200011,311.06,mid_value
200012,466.64,mid_value
200013,162.42,low_value
200014,56.31,low_value
200015,127.76,low_value
200016,439.19,mid_value
200017,22656.29,high_value
200018,142.48,low_value
200019,452.38,mid_value
200020,558.45,mid_value
200021,309.33,mid_value
200022,406.15,mid_value
200023,931.35,mid_value
200024,979.23,mid_value
200025,203.35,mid_value
200026,57.94,low_value
200027,389.85,mid_value
200028,466.93,mid_value
200029,624.69,mid_value
200030,133.05,low_value
200031,23339.6,high_value
200032,29423.6,high_value
200033,418.86,mid_value
200034,65.05,low_value
200035,280.25,mid_value
200036,436.01,mid_value
200037,585.81,mid_value
200038,474.37,mid_value
200039,26583.28,high_value
200040,154.51,low_value
200041,118.18,low_value
200042,77.34,low_value
200043,477.12,mid_value
200044,26672.82,high_value
200045,196.4,mid_value
200046,305.03,mid_value
200047,279.53,mid_value
200048,23350.34,high_value
200049,78.96,low_value
200050,734.19,mid_value
200051,622.14,mid_value
200052,285.41,mid_value
200053,24553.96,high_value
200054,205.01,mid_value
200055,161.26,low_value
200056,92.56,low_value
200057,72.66,low_value
200058,23415.08,high_value
200059,27554.64,high_value
200060,562.75,mid_value
200061,359.45,mid_value
200062,256.97,mid_value
200063,310.67,mid_value
200064,326.92,mid_value
200065,19082.22,high_value
200066,1260.09,high_value
200067,29281.46,high_value
200068,1338.22,high_value
200069,575.43,mid_value
200070,108.68,low_value
200071,31359.36,high_value
200072,896.41,mid_value
200073,207.43,mid_value
200074,22922.41,high_value
200075,611.18,mid_value
200076,94.7,low_value
200077,53.23,low_value
200078,137.52,low_value
200079,732.1,mid_value
200080,181.28,mid_value
200081,403.99,mid_value
200082,375.79,mid_value
200083,121.68,low_value
200084,19942.01,high_value
200085,259.59,mid_value
200086,465.77,mid_value
200087,301.46,mid_value
200088,247.76,mid_value
200089,66.2,low_value
200090,24743.69,high_value
200091,275.03,mid_value
200092,93.3,low_value
