customer_id,days_as_customer,total_transactions,total_spent,days_since_last_purchase,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_bin_equal,spend_tier_quantile,recency_score,frequency_score,monetary_score,rfm_score
1001,890,99,8479.32,175,3.34,85.65,285.82,medium,tier_4,3,5,5,13
1002,1074,54,9146.65,239,1.51,169.38,255.49,low,tier_4,2,3,5,10
1003,151,98,8146.97,260,19.47,83.13,1618.6,high,tier_4,2,5,5,12
1004,496,55,1133.74,163,3.33,20.61,68.57,medium,tier_1,3,3,1,7
1005,360,111,1532.47,48,9.25,13.81,127.71,medium,tier_1,5,5,1,11
1006,117,24,5289.91,329,6.15,220.41,1356.39,medium,tier_3,1,1,3,5
1007,901,118,2498.39,328,3.93,21.17,83.19,medium,tier_2,1,5,2,8
1008,160,22,4793.12,116,4.12,217.87,898.71,medium,tier_2,4,1,3,8
1009,799,69,3973.93,337,2.59,57.59,149.21,medium,tier_2,1,3,3,7
1010,373,56,5516.67,337,4.5,98.51,443.7,medium,tier_3,1,3,3,7
1011,835,33,7481.41,225,1.19,226.71,268.79,low,tier_4,2,2,4,8
1012,415,36,7169.13,352,2.6,199.14,518.25,medium,tier_3,1,2,4,7
1013,985,111,5236.28,328,3.38,47.17,159.48,medium,tier_3,1,5,3,9
1014,306,20,8232.81,147,1.96,411.64,807.14,low,tier_4,3,1,5,9
1015,489,83,4337.08,63,5.09,52.25,266.08,medium,tier_2,5,4,3,12
1016,51,99,8972.31,294,58.24,90.63,5277.83,high,tier_4,1,5,5,11
1017,282,116,759.24,323,12.34,6.55,80.77,high,tier_1,1,5,1,7
1018,777,107,9548.87,325,4.13,89.24,368.68,medium,tier_4,1,5,5,11
1019,886,81,6564.2,13,2.74,81.04,222.26,medium,tier_3,5,4,4,13
1020,504,62,3831.74,189,3.69,61.8,228.08,medium,tier_2,3,3,2,8
1021,540,109,2011.68,287,6.06,18.46,111.76,medium,tier_1,2,5,2,9
1022,729,107,4817.87,208,4.4,45.03,198.27,medium,tier_2,3,5,3,11
1023,1005,98,1985.86,114,2.93,20.26,59.28,medium,tier_1,4,5,2,11
1024,219,73,1705.0,22,10.0,23.36,233.56,medium,tier_1,5,3,1,9
1025,987,26,6192.65,349,0.79,238.18,188.23,low,tier_3,1,2,4,7
1026,716,66,5254.69,214,2.77,79.62,220.17,medium,tier_3,3,3,3,9
1027,987,117,6717.46,171,3.56,57.41,204.18,medium,tier_3,3,5,4,12
1028,592,73,9299.58,323,3.7,127.39,471.26,medium,tier_4,1,3,5,9
1029,861,73,5345.99,54,2.54,73.23,186.27,medium,tier_3,5,4,3,12
1030,676,40,5830.27,298,1.78,145.76,258.74,low,tier_3,1,2,3,6
1031,50,17,941.78,320,10.2,55.4,565.07,high,tier_1,1,1,1,3
1032,870,1,7190.48,126,0.03,7190.48,247.95,low,tier_3,4,1,4,9
1033,196,89,4029.06,277,13.62,45.27,616.69,high,tier_2,2,4,3,9
1034,417,61,9768.42,204,4.39,160.14,702.76,medium,tier_4,3,3,5,11
1035,630,43,8240.58,194,2.05,191.64,392.41,medium,tier_4,3,2,5,10
1036,345,104,5248.69,169,9.04,50.47,456.41,medium,tier_3,3,5,3,11
1037,43,42,1276.07,152,29.3,30.38,890.28,high,tier_1,3,2,1,6
1038,271,25,8601.19,35,2.77,344.05,952.16,medium,tier_4,5,1,5,11
1039,806,39,8007.82,184,1.45,205.33,298.06,low,tier_4,3,2,5,10
