customer_id,customer_name,customer_segment,signup_date,order_id,order_amount,order_date
1,Customer_1,B2C,2024-01-01,,,
2,Customer_2,SMB,2024-01-02,,,
3,Customer_3,B2C,2024-01-03,,,
4,Customer_4,B2C,2024-01-04,,,
5,Customer_5,B2B,2024-01-05,,,
6,Customer_6,B2B,2024-01-06,,,
7,Customer_7,B2B,2024-01-07,,,
8,Customer_8,SMB,2024-01-08,,,
9,Customer_9,B2C,2024-01-09,,,
10,Customer_10,B2C,2024-01-10,,,
11,Customer_11,B2B,2024-01-11,,,
12,Customer_12,SMB,2024-01-12,,,
13,Customer_13,SMB,2024-01-13,,,
14,Customer_14,B2B,2024-01-14,,,
15,Customer_15,B2B,2024-01-15,,,
16,Customer_16,B2B,2024-01-16,,,
17,Customer_17,B2C,2024-01-17,,,
18,Customer_18,B2C,2024-01-18,,,
19,Customer_19,B2C,2024-01-19,,,
20,Customer_20,B2B,2024-01-20,,,
21,Customer_21,B2C,2024-01-21,,,
22,Customer_22,B2B,2024-01-22,,,
23,Customer_23,B2B,2024-01-23,,,
24,Customer_24,B2C,2024-01-24,,,
25,Customer_25,B2C,2024-01-25,,,
26,Customer_26,B2C,2024-01-26,,,
27,Customer_27,B2B,2024-01-27,,,
28,Customer_28,B2C,2024-01-28,,,
29,Customer_29,B2C,2024-01-29,,,
30,Customer_30,B2B,2024-01-30,,,
31,Customer_31,B2C,2024-01-31,,,
32,Customer_32,B2B,2024-02-01,,,
33,Customer_33,B2B,2024-02-02,,,
34,Customer_34,SMB,2024-02-03,,,
35,Customer_35,SMB,2024-02-04,,,
36,Customer_36,SMB,2024-02-05,,,
37,Customer_37,B2C,2024-02-06,,,
38,Customer_38,B2B,2024-02-07,,,
39,Customer_39,B2C,2024-02-08,,,
40,Customer_40,B2C,2024-02-09,,,
41,Customer_41,B2B,2024-02-10,,,
42,Customer_42,B2C,2024-02-11,,,
43,Customer_43,B2B,2024-02-12,,,
44,Customer_44,SMB,2024-02-13,,,
45,Customer_45,B2B,2024-02-14,,,
46,Customer_46,B2C,2024-02-15,,,
47,Customer_47,B2C,2024-02-16,,,
48,Customer_48,B2C,2024-02-17,,,
49,Customer_49,B2C,2024-02-18,,,
50,Customer_50,B2B,2024-02-19,5813.0,109.12,2025-02-03 20:00:00
50,Customer_50,B2B,2024-02-19,5892.0,368.13,2025-02-07 03:00:00
50,Customer_50,B2B,2024-02-19,7289.0,113.64,2025-04-06 08:00:00
50,Customer_50,B2B,2024-02-19,7567.0,403.11,2025-04-17 22:00:00
50,Customer_50,B2B,2024-02-19,7990.0,256.36,2025-05-05 13:00:00
50,Customer_50,B2B,2024-02-19,8815.0,58.75,2025-06-08 22:00:00
51,Customer_51,SMB,2024-02-20,5555.0,44.0,2025-01-24 02:00:00
51,Customer_51,SMB,2024-02-20,5724.0,369.84,2025-01-31 03:00:00
51,Customer_51,SMB,2024-02-20,6036.0,162.97,2025-02-13 03:00:00
52,Customer_52,B2C,2024-02-21,5132.0,19.39,2025-01-06 11:00:00
52,Customer_52,B2C,2024-02-21,5214.0,452.18,2025-01-09 21:00:00
52,Customer_52,B2C,2024-02-21,5970.0,457.39,2025-02-10 09:00:00
52,Customer_52,B2C,2024-02-21,8252.0,165.07,2025-05-16 11:00:00
52,Customer_52,B2C,2024-02-21,8466.0,398.4,2025-05-25 09:00:00
52,Customer_52,B2C,2024-02-21,9235.0,220.15,2025-06-26 10:00:00
52,Customer_52,B2C,2024-02-21,9498.0,204.84,2025-07-07 09:00:00
53,Customer_53,SMB,2024-02-22,8696.0,452.94,2025-06-03 23:00:00
54,Customer_54,SMB,2024-02-23,8435.0,127.57,2025-05-24 02:00:00
55,Customer_55,B2C,2024-02-24,9294.0,352.02,2025-06-28 21:00:00
56,Customer_56,SMB,2024-02-25,5306.0,135.11,2025-01-13 17:00:00
56,Customer_56,SMB,2024-02-25,5393.0,21.62,2025-01-17 08:00:00
56,Customer_56,SMB,2024-02-25,5604.0,51.68,2025-01-26 03:00:00
56,Customer_56,SMB,2024-02-25,6315.0,106.38,2025-02-24 18:00:00
56,Customer_56,SMB,2024-02-25,7713.0,181.5,2025-04-24 00:00:00
56,Customer_56,SMB,2024-02-25,9079.0,170.04,2025-06-19 22:00:00
56,Customer_56,SMB,2024-02-25,9411.0,215.96,2025-07-03 18:00:00
57,Customer_57,B2B,2024-02-26,5858.0,249.93,2025-02-05 17:00:00
57,Customer_57,B2B,2024-02-26,6549.0,189.73,2025-03-06 12:00:00
57,Customer_57,B2B,2024-02-26,7132.0,326.5,2025-03-30 19:00:00
57,Customer_57,B2B,2024-02-26,7444.0,94.47,2025-04-12 19:00:00
57,Customer_57,B2B,2024-02-26,8528.0,19.0,2025-05-27 23:00:00
