date,total_revenue,order_days,avg_daily_revenue
2025-01-31,156232.49,31,5039.757741935484
2025-02-28,165728.7,28,5918.882142857144
2025-03-31,217260.14,31,7008.391612903226
2025-04-30,230459.58,30,7681.986
2025-05-31,265245.46,31,8556.305161290324
2025-06-30,293880.14,30,9796.004666666668
2025-07-31,319160.73,31,10295.507419354839
2025-08-31,346157.87,31,11166.382903225805
2025-09-30,350915.57,30,11697.185666666666
2025-10-31,398123.97,31,12842.708709677418
2025-11-30,418886.03,30,13962.867666666667
2025-12-31,439537.82,31,14178.63935483871
