days_as_customer,transactions_per_month,support_tickets,avg_spend,churn
132,1.4,3,96.46,0
465,3.19,8,478.39,1
890,21.06,2,44.5,0
300,16.5,2,183.92,0
136,22.75,2,256.56,0
101,27.48,2,251.71,0
730,17.97,4,11.94,0
50,22.06,3,255.57,0
644,22.96,0,198.05,0
151,11.96,0,486.32,0
496,7.99,2,87.99,1
244,6.95,4,183.54,0
360,8.29,3,215.55,1
488,8.97,4,201.44,0
117,7.01,2,336.26,0
402,26.47,3,115.6,0
129,22.95,2,118.33,0
901,2.36,7,367.31,1
693,8.79,1,255.14,0
160,1.64,1,213.43,0
691,15.45,2,92.91,1
338,14.81,2,101.89,0
799,25.11,1,15.17,0
373,9.93,5,54.8,1
521,24.68,0,282.85,0
443,29.07,3,447.02,0
835,3.56,2,150.71,0
415,23.96,2,170.6,0
221,18.11,1,66.65,0
985,14.92,2,200.43,0
306,13.2,1,28.24,0
190,23.76,5,459.62,0
489,19.54,2,339.82,0
343,24.35,1,495.47,0
51,27.19,3,442.58,0
282,18.9,1,241.77,0
777,29.43,3,264.65,0
886,18.63,2,103.38,0
590,19.46,4,236.4,0
504,17.09,1,452.48,0
88,3.64,4,34.92,1
540,22.07,1,433.14,0
711,16.88,1,177.06,0
505,14.08,1,450.76,0
729,27.4,2,471.03,0
812,9.64,0,338.72,0
219,16.18,1,335.57,0
987,21.23,2,231.85,0
716,24.1,4,419.41,0
987,14.32,4,481.19,1
592,25.42,2,389.79,0
905,23.3,2,314.75,0
596,2.92,4,307.33,0
273,2.33,2,426.24,0
861,19.0,2,275.19,0
534,11.07,5,403.89,1
160,7.06,3,259.35,1
514,17.81,5,40.6,0
848,10.91,1,198.13,0
676,16.58,0,227.78,0
50,14.34,1,79.39,0
870,17.96,5,60.22,0
196,12.61,1,272.38,0
303,21.23,2,51.72,0
417,6.22,1,158.44,0
630,21.2,3,374.85,0
345,12.94,7,482.57,0
43,26.36,2,361.76,0
271,15.94,3,496.39,0
806,29.22,2,352.19,0
375,18.46,0,153.96,0
594,7.49,4,339.31,0
927,24.83,2,354.06,0
369,11.01,2,192.15,0
121,11.08,3,18.68,0
396,1.92,4,354.57,0
985,16.91,4,20.63,1
484,16.5,0,319.28,0
457,11.32,1,90.17,0
538,26.93,2,287.15,0
805,4.73,1,256.92,0
972,10.57,3,16.62,0
64,10.33,5,187.8,0
235,3.68,3,304.53,0
110,14.95,3,425.82,0
961,20.95,1,445.43,0
591,15.84,6,247.09,0
901,5.55,3,366.93,0
417,11.94,2,165.06,1
31,1.08,1,177.67,0
419,26.18,1,105.29,0
595,3.45,0,285.35,0
135,18.32,3,164.14,0
801,29.6,3,51.34,0
851,16.56,3,345.65,0
506,27.8,3,356.8,0
732,7.85,4,186.4,0
431,23.04,5,47.59,0
759,16.41,5,218.89,1
585,21.89,1,226.74,0
191,2.81,4,337.65,0
231,5.28,2,164.55,0
987,4.86,1,344.47,0
299,20.93,1,437.03,0
892,25.49,1,126.37,0
845,22.74,2,489.67,0
300,1.88,6,199.32,1
485,26.15,1,140.96,0
491,11.27,3,216.54,1
756,12.52,1,56.25,0
281,4.04,5,71.6,0
731,22.38,2,213.07,0
325,6.29,2,383.6,0
754,17.35,5,451.15,0
749,25.38,2,335.76,0
778,3.59,2,61.56,0
367,16.52,3,339.29,0
908,7.76,4,321.36,0
82,10.94,2,404.82,0
821,14.75,2,414.37,0
951,11.3,2,435.42,0
246,19.82,1,212.92,0
793,14.91,1,351.95,0
217,17.94,2,141.44,0
409,22.37,6,499.67,0
522,17.17,2,95.91,0
70,18.01,2,14.96,1
186,17.37,6,82.92,1
44,11.98,2,390.18,0
842,10.79,7,228.92,1
94,27.09,4,229.28,0
886,18.62,3,477.96,0
868,8.09,1,460.62,0
550,15.45,4,162.49,0
373,10.58,0,112.44,0
158,28.08,2,425.76,0
677,1.22,1,453.95,0
501,7.53,0,275.38,0
92,11.6,2,318.42,0
168,15.15,6,135.89,0
528,25.67,1,402.39,0
622,3.55,1,319.74,0
421,24.37,4,256.72,0
704,2.61,0,39.45,0
448,25.43,5,458.81,0
318,2.5,1,311.57,0
408,1.53,1,104.42,0
802,21.21,3,307.13,0
519,29.92,3,341.96,0
260,27.0,2,267.63,0
70,17.7,3,361.87,0
57,27.6,2,294.91,0
164,1.15,5,474.41,1
230,29.28,3,36.31,0
869,15.23,6,62.06,0
809,21.96,1,95.1,0
959,24.8,4,348.18,0
62,21.84,3,326.34,0
77,16.52,3,447.11,0
532,14.82,1,369.11,0
436,25.32,7,259.09,1
603,6.95,2,496.0,0
757,29.07,6,140.39,1
834,21.62,2,418.26,0
128,6.79,2,219.13,0
713,22.35,9,327.88,1
901,16.37,2,366.36,0
755,21.51,5,320.54,0
576,23.27,0,78.85,0
990,3.53,1,227.05,0
768,15.68,0,285.1,0
642,28.03,3,426.03,0
972,10.3,1,227.39,1
491,18.22,3,460.19,0
672,11.71,0,225.78,0
798,14.17,3,278.9,0
34,16.91,4,400.18,0
247,16.92,3,295.7,0
532,6.85,6,480.51,0
796,20.85,2,333.56,0
427,3.55,2,266.13,0
900,5.03,2,21.56,0
824,1.08,4,212.73,1
422,4.38,0,156.63,0
236,14.72,3,376.57,0
44,18.58,1,112.06,0
887,24.03,1,110.56,0
583,4.09,7,102.86,1
921,25.67,1,71.55,0
490,22.63,1,162.39,0
720,12.85,2,444.1,0
604,28.06,3,389.71,0
893,29.74,5,370.27,0
772,6.95,3,400.7,1
270,12.0,3,142.01,0
593,27.87,3,444.85,0
125,21.93,4,77.28,1
929,2.39,3,174.81,0
763,23.66,1,297.51,0
514,25.01,1,60.42,0
436,22.76,3,367.76,0
260,24.19,1,199.75,0
778,24.93,1,394.36,0
684,6.41,2,251.52,0
200,7.84,3,98.63,0
570,19.38,4,370.03,0
65,27.33,2,133.55,0
554,10.17,3,250.5,0
189,18.06,3,47.01,0
868,20.81,0,312.75,0
728,14.11,2,336.27,0
272,21.7,3,195.55,0
115,27.09,1,477.67,1
825,19.1,4,438.34,1
607,16.65,0,356.89,0
711,13.72,1,359.69,0
586,17.75,2,133.68,0
603,11.31,4,331.84,0
