customer_id,revenue,transaction_count,revenue_normalized,revenue_zscore
100001,244.63,98,0.039966,-0.53044
100002,1515.06,200,0.256369,2.028412
100003,668.37,62,0.112145,0.323041
100004,466.47,79,0.077754,-0.083618
100005,94.81,185,0.014446,-0.832201
100006,94.8,17,0.014445,-0.832222
100007,39.92,70,0.005097,-0.942759
100008,1015.62,22,0.171295,1.022459
100009,469.54,23,0.078277,-0.077435
100010,625.63,230,0.104865,0.236956
100011,20.4,46,0.001772,-0.982075
100012,1761.78,49,0.298394,2.525345
100013,903.21,198,0.152147,0.796047
100014,129.34,148,0.020328,-0.762652
100015,110.34,225,0.017092,-0.800921
100016,111.31,154,0.017257,-0.798968
100017,191.38,112,0.030896,-0.637694
100018,381.96,191,0.063359,-0.253835
100019,292.77,230,0.048166,-0.433478
100020,182.11,126,0.029317,-0.656365
100021,483.19,19,0.080602,-0.049941
100022,85.12,4,0.012796,-0.851719
100023,182.76,72,0.029428,-0.655056
100024,238.14,56,0.038861,-0.543512
100025,314.47,220,0.051863,-0.389771
100026,778.97,35,0.130985,0.545807
100027,121.37,92,0.018971,-0.778705
100028,371.01,171,0.061494,-0.27589
100029,458.75,212,0.076439,-0.099167
100030,33.78,115,0.004051,-0.955126
100031,477.67,248,0.079662,-0.061059
100032,103.48,51,0.015923,-0.814739
100033,43.63,154,0.005728,-0.935286
100034,1496.84,48,0.253265,1.991714
100035,1695.32,160,0.287074,2.391484
100036,836.17,115,0.140728,0.661017
100037,191.64,94,0.03094,-0.63717
100038,61.39,150,0.008754,-0.899515
100039,586.38,51,0.098179,0.1579
100040,300.05,117,0.049406,-0.418815
100041,75.08,160,0.011086,-0.871941
100042,351.77,212,0.058216,-0.314642
100043,27.5,14,0.002981,-0.967775
100044,1210.21,204,0.204441,1.414394
100045,159.73,1,0.025505,-0.701442
100046,553.13,107,0.092516,0.090929
100047,196.77,171,0.031814,-0.626837
100048,377.06,23,0.062524,-0.263704
100049,405.61,28,0.067387,-0.2062
100050,112.19,150,0.017407,-0.797195
100051,1756.4,177,0.297478,2.514509
100052,756.12,138,0.127092,0.499784
100053,1412.55,123,0.238907,1.82194
100054,1136.08,189,0.191814,1.265085
100055,465.53,164,0.077594,-0.085511
100056,1284.72,89,0.217133,1.56447
100057,56.33,32,0.007892,-0.909706
100058,119.07,151,0.018579,-0.783338
100059,33.14,211,0.003942,-0.956415
100060,206.77,247,0.033517,-0.606696
100061,256.07,174,0.041915,-0.507398
100062,168.28,145,0.026961,-0.684221
100063,892.28,181,0.150286,0.774032
100064,230.61,113,0.037578,-0.558678
100065,174.9,52,0.028089,-0.670887
100066,401.2,178,0.066636,-0.215082
100067,85.95,42,0.012937,-0.850047
100068,820.24,114,0.138014,0.628932
100069,48.74,182,0.006599,-0.924994
100070,2177.07,62,0.369134,3.361807
100071,749.74,24,0.126006,0.486933
100072,120.77,57,0.018868,-0.779914
100073,12.77,134,0.000472,-0.997443
100074,854.95,83,0.143927,0.698843
100075,623.55,115,0.104511,0.232766
100076,662.83,83,0.111202,0.311883
100077,747.61,237,0.125643,0.482643
100078,48.46,115,0.006551,-0.925558
100079,231.95,76,0.037806,-0.555979
100080,71.58,160,0.010489,-0.87899
100081,1004.26,153,0.16936,0.999578
100082,498.15,64,0.08315,-0.019809
100083,210.91,224,0.034223,-0.598357
100084,42.83,4,0.005592,-0.936897
100085,196.24,167,0.031724,-0.627905
100086,206.66,130,0.033499,-0.606917
100087,663.94,151,0.111391,0.314118
100088,517.44,199,0.086436,0.019044
100089,1101.13,84,0.185861,1.19469
100090,329.53,36,0.054428,-0.359437
100091,73.69,188,0.010849,-0.87474
100092,634.56,181,0.106386,0.254942
100093,725.2,17,0.121826,0.437506
100094,421.94,86,0.070169,-0.173309
100095,746.94,71,0.125529,0.481294
100096,350.41,244,0.057985,-0.317382
100097,379.84,104,0.062998,-0.258105
100098,288.91,87,0.047509,-0.441253
100099,22.87,206,0.002192,-0.9771
100100,67.08,74,0.009723,-0.888054
100101,25.97,238,0.00272,-0.970856
100102,515.86,193,0.086167,0.015861
100103,198.7,249,0.032143,-0.62295
100104,365.22,60,0.060507,-0.287552
100105,1200.63,110,0.202809,1.395099
100106,153.37,249,0.024421,-0.714252
100107,274.14,209,0.044993,-0.471002
100108,714.37,40,0.119981,0.415693
100109,139.9,206,0.022127,-0.741383
100110,50.05,49,0.006822,-0.922355
100111,181.07,56,0.02914,-0.65846
100112,97.9,81,0.014973,-0.825978
100113,1337.48,10,0.22612,1.670737
100114,835.44,122,0.140604,0.659547
100115,511.75,210,0.085467,0.007583
100116,1035.76,163,0.174726,1.063024
100117,823.98,138,0.138652,0.636465
100118,113.25,43,0.017587,-0.79506
100119,1125.41,20,0.189996,1.243594
100120,397.55,208,0.066014,-0.222434
100121,833.67,145,0.140302,0.655982
100122,1142.12,248,0.192843,1.27725
100123,201.37,39,0.032598,-0.617572
100124,68.3,50,0.009931,-0.885597
100125,139.34,92,0.022031,-0.742511
100126,288.53,73,0.047444,-0.442018
100127,861.91,212,0.145112,0.712862
100128,995.67,198,0.167897,0.982276
100129,13.49,205,0.000594,-0.995993
100130,367.44,201,0.060886,-0.283081
100131,280.14,176,0.046015,-0.458917
100132,135.58,161,0.021391,-0.750084
100133,73.84,35,0.010874,-0.874438
100134,215.95,150,0.035081,-0.588206
100135,1441.56,151,0.243849,1.880371
100136,205.19,46,0.033248,-0.609878
100137,375.73,89,0.062298,-0.266383
100138,617.04,228,0.103402,0.219654
100139,235.99,119,0.038495,-0.547842
100140,1793.9,7,0.303865,2.59004
100141,1651.0,15,0.279524,2.302217
100142,155.03,93,0.024704,-0.710909
100143,353.83,200,0.058567,-0.310493
100144,188.97,165,0.030485,-0.642548
100145,177.62,202,0.028552,-0.665409
100146,28.79,74,0.003201,-0.965176
100147,480.25,60,0.080101,-0.055863
100148,359.26,178,0.059492,-0.299556
100149,36.43,109,0.004502,-0.949788
100150,173.31,13,0.027818,-0.67409
100151,1204.43,147,0.203456,1.402753
100152,146.93,240,0.023324,-0.727223
100153,88.27,49,0.013332,-0.845374
100154,346.14,23,0.057257,-0.325982
100155,2132.02,55,0.36146,3.271069
100156,148.57,143,0.023604,-0.72392
100157,567.58,209,0.094977,0.120034
100158,726.94,10,0.122122,0.441011
100159,145.67,184,0.02311,-0.729761
100160,661.37,116,0.110953,0.308942
100161,239.26,104,0.039052,-0.541256
100162,510.25,63,0.085211,0.004562
100163,511.92,185,0.085496,0.007926
100164,393.69,46,0.065357,-0.230209
100165,57.31,161,0.008059,-0.907732
100166,911.82,56,0.153614,0.813389
100167,203.41,109,0.032945,-0.613463
100168,113.22,18,0.017582,-0.795121
100169,30.81,68,0.003545,-0.961108
100170,456.89,59,0.076122,-0.102914
100171,575.93,132,0.096399,0.136852
100172,18.36,143,0.001424,-0.986184
100173,368.82,159,0.061121,-0.280301
100174,138.41,2,0.021873,-0.744384
100175,528.06,204,0.088245,0.040434
100176,105.8,62,0.016318,-0.810066
100177,597.11,161,0.100007,0.179512
100178,254.48,174,0.041644,-0.5106
100179,1390.17,178,0.235095,1.776863
100180,83.97,148,0.0126,-0.854035
100181,218.57,194,0.035527,-0.582929
100182,70.22,231,0.010258,-0.88173
100183,1303.1,65,0.220264,1.60149
100184,1059.17,84,0.178713,1.110175
100185,159.16,248,0.025408,-0.70259
100186,549.38,24,0.091877,0.083376
100187,859.74,142,0.144743,0.708491
100188,415.07,49,0.068999,-0.187146
100189,387.14,101,0.064241,-0.243402
100190,148.44,169,0.023582,-0.724182
100191,58.86,157,0.008323,-0.90461
100192,1147.56,149,0.193769,1.288207
100193,1163.39,32,0.196466,1.320091
100194,511.33,187,0.085395,0.006737
100195,217.02,128,0.035263,-0.586051
100196,224.78,53,0.036585,-0.570421
100197,657.23,230,0.110248,0.300603
100198,1147.05,248,0.193683,1.28718
100199,1100.57,87,0.185765,1.193562
100200,766.78,221,0.128908,0.521255
100201,523.66,206,0.087496,0.031572
100202,53.95,63,0.007486,-0.9145
100203,98.15,199,0.015015,-0.825474
100204,1154.12,151,0.194887,1.30142
100205,476.25,81,0.07942,-0.06392
100206,14.62,34,0.000787,-0.993717
100207,63.5,224,0.009113,-0.895265
100208,554.58,165,0.092763,0.09385
100209,12.54,133,0.000433,-0.997906
100210,97.66,42,0.014932,-0.826461
100211,407.85,237,0.067769,-0.201688
100212,598.66,212,0.100271,0.182634
100213,537.72,200,0.089891,0.059891
100214,136.97,72,0.021628,-0.747284
100215,632.71,88,0.106071,0.251216
100216,145.41,153,0.023065,-0.730285
100217,206.82,46,0.033526,-0.606595
100218,696.18,27,0.116882,0.379055
100219,534.39,96,0.089323,0.053184
100220,955.98,135,0.161136,0.902334
100221,545.91,188,0.091286,0.076387
100222,430.02,12,0.071545,-0.157034
100223,59.18,112,0.008377,-0.903966
100224,239.21,135,0.039043,-0.541356
100225,164.08,109,0.026246,-0.69268
100226,149.85,173,0.023822,-0.721342
100227,1816.15,136,0.307655,2.634855
100228,259.69,132,0.042532,-0.500106
