transaction_id,timestamp,customer_type,payment_method,region,device_type,status,error_message,amount
TX_00000001,2025-01-01 00:02:00,Startup,credit_card,EU-Central,mobile_android,success,None,32.1
TX_00000002,2025-01-01 00:09:00,Startup,crypto,US-West,desktop,success,None,38.4
TX_00000003,2025-01-01 00:09:00,SMB,credit_card,US-West,desktop,success,None,61.18
TX_00000004,2025-01-01 00:10:00,SMB,credit_card,US-East,mobile_android,success,None,79.45
TX_00000005,2025-01-01 00:12:00,SMB,credit_card,EU-Central,mobile_android,success,None,80.91
TX_00000006,2025-01-01 00:16:00,SMB,credit_card,US-East,mobile_ios,success,None,74.63
TX_00000007,2025-01-01 00:21:00,SMB,credit_card,US-East,desktop,success,None,65.7
TX_00000008,2025-01-01 00:28:00,Startup,debit,US-East,mobile_android,success,None,28.57
TX_00000009,2025-01-01 00:37:00,SMB,credit_card,EU-Central,desktop,success,None,66.79
TX_00000010,2025-01-01 00:48:00,SMB,credit_card,US-West,desktop,success,None,76.47
TX_00000011,2025-01-01 00:55:00,SMB,debit,US-East,mobile_ios,success,None,69.6
TX_00000012,2025-01-01 00:55:00,Startup,credit_card,US-East,desktop,success,None,42.21
TX_00000013,2025-01-01 01:00:00,Startup,credit_card,US-West,desktop,success,None,46.65
TX_00000014,2025-01-01 01:00:00,Startup,crypto,US-West,mobile_android,success,None,27.76
TX_00000015,2025-01-01 01:06:00,SMB,credit_card,US-East,desktop,success,None,76.15
TX_00000016,2025-01-01 01:06:00,Startup,debit,EU-Central,mobile_android,success,None,36.76
TX_00000017,2025-01-01 01:07:00,Enterprise,credit_card,APAC,mobile_android,success,None,144.27
TX_00000018,2025-01-01 01:14:00,Startup,credit_card,US-East,mobile_android,success,None,36.88
TX_00000019,2025-01-01 01:17:00,SMB,credit_card,US-West,mobile_android,success,None,72.58
TX_00000020,2025-01-01 01:18:00,SMB,credit_card,US-East,mobile_ios,success,None,76.01
TX_00000021,2025-01-01 01:22:00,SMB,credit_card,EU-Central,mobile_ios,success,None,83.57
TX_00000022,2025-01-01 01:33:00,Startup,credit_card,US-West,mobile_android,success,None,42.66
TX_00000023,2025-01-01 01:37:00,Enterprise,debit,US-East,desktop,success,None,152.88
TX_00000024,2025-01-01 01:45:00,Startup,debit,EU-Central,desktop,success,None,34.26
TX_00000025,2025-01-01 01:45:00,SMB,credit_card,EU-Central,mobile_ios,success,None,60.67
TX_00000026,2025-01-01 01:52:00,SMB,credit_card,US-East,mobile_ios,success,None,82.46
TX_00000027,2025-01-01 01:57:00,Enterprise,debit,US-East,mobile_ios,success,None,149.69
TX_00000028,2025-01-01 02:05:00,SMB,debit,US-East,mobile_ios,success,None,80.8
TX_00000029,2025-01-01 02:06:00,SMB,credit_card,US-West,mobile_ios,success,None,105.16
TX_00000030,2025-01-01 02:12:00,SMB,debit,EU-Central,mobile_ios,success,None,87.65
TX_00000031,2025-01-01 02:16:00,Startup,credit_card,US-West,desktop,success,None,38.77
TX_00000032,2025-01-01 02:18:00,SMB,credit_card,US-West,desktop,success,None,92.17
TX_00000033,2025-01-01 02:21:00,Startup,credit_card,EU-Central,mobile_ios,success,None,41.28
TX_00000034,2025-01-01 02:23:00,SMB,debit,US-West,desktop,success,None,87.11
TX_00000035,2025-01-01 02:25:00,Startup,crypto,US-West,mobile_android,success,None,39.12
TX_00000036,2025-01-01 02:25:00,Enterprise,crypto,US-West,mobile_android,success,None,93.83
TX_00000037,2025-01-01 02:28:00,SMB,credit_card,EU-Central,mobile_ios,success,None,76.33
TX_00000038,2025-01-01 02:33:00,SMB,crypto,US-East,mobile_android,success,None,82.85
TX_00000039,2025-01-01 02:35:00,SMB,credit_card,US-East,mobile_ios,success,None,72.99
TX_00000040,2025-01-01 02:39:00,Startup,credit_card,US-East,desktop,success,None,43.29
TX_00000041,2025-01-01 02:41:00,Enterprise,credit_card,EU-Central,mobile_ios,success,None,138.06
TX_00000042,2025-01-01 02:41:00,Enterprise,credit_card,US-West,desktop,success,None,191.77
TX_00000043,2025-01-01 02:42:00,Startup,debit,US-East,desktop,success,None,41.78
TX_00000044,2025-01-01 02:43:00,SMB,credit_card,APAC,desktop,success,None,78.11
TX_00000045,2025-01-01 02:54:00,Startup,crypto,APAC,mobile_ios,failed,Insufficient funds,0.0
TX_00000046,2025-01-01 02:58:00,SMB,credit_card,APAC,mobile_ios,success,None,90.07
TX_00000047,2025-01-01 02:59:00,Startup,credit_card,US-East,desktop,success,None,35.14
TX_00000048,2025-01-01 03:09:00,Enterprise,crypto,EU-Central,desktop,success,None,140.8
TX_00000049,2025-01-01 03:10:00,Enterprise,credit_card,US-East,mobile_ios,success,None,140.12
TX_00000050,2025-01-01 03:11:00,SMB,debit,US-East,desktop,success,None,70.45
TX_00000051,2025-01-01 03:12:00,Startup,debit,US-East,desktop,success,None,50.85
TX_00000052,2025-01-01 03:13:00,SMB,credit_card,US-West,mobile_ios,success,None,81.52
TX_00000053,2025-01-01 03:17:00,SMB,debit,US-East,desktop,success,None,83.29
TX_00000054,2025-01-01 03:23:00,Startup,credit_card,US-West,desktop,success,None,46.84
TX_00000055,2025-01-01 03:26:00,Startup,debit,EU-Central,desktop,success,None,45.45
TX_00000056,2025-01-01 03:27:00,Startup,credit_card,US-East,mobile_ios,success,None,7.88
TX_00000057,2025-01-01 03:31:00,Startup,credit_card,US-East,mobile_android,success,None,32.09
