customer_id,days_as_customer,transactions_per_month,engagement,support_tickets,avg_spend,churn
300001,132,1.4,5.06,3,96.46,0
300002,465,3.19,13.46,8,478.39,1
300003,890,21.06,71.22,2,44.5,0
300004,300,16.5,58.23,2,183.92,0
300005,136,22.75,77.47,2,256.56,0
300006,101,27.48,100.86,2,251.71,0
300007,730,17.97,59.72,4,11.94,0
300008,50,22.06,77.39,3,255.57,0
300009,644,22.96,81.33,0,198.05,0
300010,151,11.96,43.04,0,486.32,0
300011,496,7.99,26.23,2,87.99,1
300012,244,6.95,21.63,4,183.54,0
300013,360,8.29,27.32,3,215.55,1
300014,488,8.97,32.97,4,201.44,0
300015,117,7.01,24.1,2,336.26,0
300016,402,26.47,95.03,3,115.6,0
300017,129,22.95,81.77,2,118.33,0
300018,901,2.36,1.43,7,367.31,1
300019,693,8.79,31.51,1,255.14,0
300020,160,1.64,12.5,1,213.43,0
300021,691,15.45,58.04,2,92.91,1
300022,338,14.81,53.1,2,101.89,0
300023,799,25.11,84.71,1,15.17,0
300024,373,9.93,36.17,5,54.8,1
300025,521,24.68,88.58,0,282.85,0
300026,443,29.07,100.99,3,447.02,0
300027,835,3.56,13.42,2,150.71,0
300028,415,23.96,88.4,2,170.6,0
300029,221,18.11,60.81,1,66.65,0
300030,985,14.92,49.05,2,200.43,0
300031,306,13.2,48.26,1,28.24,0
300032,190,23.76,84.52,5,459.62,0
300033,489,19.54,71.48,2,339.82,0
300034,343,24.35,86.92,1,495.47,0
300035,51,27.19,93.47,3,442.58,0
300036,282,18.9,67.45,1,241.77,0
300037,777,29.43,99.59,3,264.65,0
300038,886,18.63,64.47,2,103.38,0
300039,590,19.46,69.63,4,236.4,0
300040,504,17.09,58.73,1,452.48,0
300041,88,3.64,20.14,4,34.92,1
300042,540,22.07,71.55,1,433.14,0
300043,711,16.88,57.42,1,177.06,0
300044,505,14.08,46.45,1,450.76,0
300045,729,27.4,93.81,2,471.03,0
300046,812,9.64,31.81,0,338.72,0
300047,219,16.18,52.67,1,335.57,0
300048,987,21.23,76.57,2,231.85,0
300049,716,24.1,82.7,4,419.41,0
300050,987,14.32,50.61,4,481.19,1
300051,592,25.42,87.67,2,389.79,0
300052,905,23.3,79.47,2,314.75,0
300053,596,2.92,15.24,4,307.33,0
300054,273,2.33,10.92,2,426.24,0
300055,861,19.0,60.91,2,275.19,0
300056,534,11.07,32.84,5,403.89,1
300057,160,7.06,27.85,3,259.35,1
300058,514,17.81,60.77,5,40.6,0
300059,848,10.91,33.22,1,198.13,0
300060,676,16.58,61.17,0,227.78,0
300061,50,14.34,50.71,1,79.39,0
300062,870,17.96,63.61,5,60.22,0
300063,196,12.61,46.56,1,272.38,0
300064,303,21.23,70.38,2,51.72,0
300065,417,6.22,16.88,1,158.44,0
300066,630,21.2,78.94,3,374.85,0
300067,345,12.94,40.97,7,482.57,0
300068,43,26.36,88.58,2,361.76,0
300069,271,15.94,52.73,3,496.39,0
300070,806,29.22,108.51,2,352.19,0
300071,375,18.46,66.08,0,153.96,0
300072,594,7.49,29.12,4,339.31,0
300073,927,24.83,87.5,2,354.06,0
300074,369,11.01,36.72,2,192.15,0
300075,121,11.08,40.68,3,18.68,0
300076,396,1.92,2.06,4,354.57,0
300077,985,16.91,55.91,4,20.63,1
300078,484,16.5,59.94,0,319.28,0
300079,457,11.32,35.56,1,90.17,0
300080,538,26.93,93.7,2,287.15,0
300081,805,4.73,16.14,1,256.92,0
300082,972,10.57,35.42,3,16.62,0
300083,64,10.33,30.29,5,187.8,0
300084,235,3.68,10.98,3,304.53,0
300085,110,14.95,49.86,3,425.82,0
300086,961,20.95,73.79,1,445.43,0
300087,591,15.84,55.76,6,247.09,0
300088,901,5.55,20.57,3,366.93,0
300089,417,11.94,39.77,2,165.06,1
300090,31,1.08,5.33,1,177.67,0
