customer_id,days_as_customer,total_transactions,total_spent,days_since_last_purchase
1001,890,99,8479.32,175
1002,1074,54,9146.65,239
1003,151,98,8146.97,260
1004,496,55,1133.74,163
1005,360,111,1532.47,48
1006,117,24,5289.91,329
1007,901,118,2498.39,328
1008,160,22,4793.12,116
1009,799,69,3973.93,337
1010,373,56,5516.67,337
1011,835,33,7481.41,225
1012,415,36,7169.13,352
1013,985,111,5236.28,328
1014,306,20,8232.81,147
1015,489,83,4337.08,63
1016,51,99,8972.31,294
1017,282,116,759.24,323
1018,777,107,9548.87,325
1019,886,81,6564.2,13
1020,504,62,3831.74,189
1021,540,109,2011.68,287
1022,729,107,4817.87,208
1023,1005,98,1985.86,114
1024,219,73,1705.0,22
1025,987,26,6192.65,349
1026,716,66,5254.69,214
1027,987,117,6717.46,171
1028,592,73,9299.58,323
1029,861,73,5345.99,54
1030,676,40,5830.27,298
1031,50,17,941.78,320
1032,870,1,7190.48,126
1033,196,89,4029.06,277
1034,417,61,9768.42,204
1035,630,43,8240.58,194
1036,345,104,5248.69,169
1037,43,42,1276.07,152
1038,271,25,8601.19,35
1039,806,39,8007.82,184
1040,594,35,1886.62,286
1041,927,3,2988.02,57
1042,121,114,7944.4,222
1043,985,101,1893.02,303
1044,538,108,9181.64,163
1045,805,44,4274.05,19
1046,64,51,916.04,264
1047,235,94,8166.7,282
1048,1055,102,3766.42,113
1049,1051,98,5288.67,327
1050,595,12,1167.43,30
1051,732,19,75.71,135
1052,431,101,6397.95,67
1053,759,44,5175.99,65
1054,191,59,5955.71,292
1055,231,49,7947.75,25
1056,1025,61,6483.73,37
1057,299,17,1789.0,1
1058,845,74,3639.69,37
1059,485,57,9063.62,141
1060,1046,55,7710.95,232
1061,325,113,5588.54,136
1062,749,47,2593.67,188
1063,367,12,3055.5,128
1064,908,62,7332.98,201
1065,821,80,8519.18,127
1066,246,88,6730.68,257
1067,793,83,8104.82,164
1068,217,8,7678.23,35
1069,409,95,1539.55,194
1070,522,21,4268.25,191
1071,1094,81,1572.19,104
1072,44,87,2390.59,23
1073,94,101,8699.13,265
1074,550,118,4755.28,290
1075,677,80,5376.81,260
1076,622,70,1825.54,358
1077,421,72,3157.1,75
1078,448,25,2340.95,355
1079,318,82,2101.55,72
1080,408,89,6397.71,259
1081,260,12,2605.99,188
1082,1047,15,6338.55,173
1083,70,59,631.62,290
1084,1081,26,1460.66,45
1085,164,105,2781.68,61
1086,230,109,5990.62,83
1087,809,26,6774.62,123
1088,959,47,4455.03,358
1089,1086,32,4485.62,16
1090,532,10,7258.94,66
1091,436,16,207.42,145
1092,834,71,3443.85,162
1093,128,17,8196.14,234
1094,713,23,6052.03,144
1095,755,26,3405.41,358
1096,990,85,9059.97,188
1097,642,86,7737.6,322
1098,672,7,2685.71,13
1099,1058,14,6470.63,184
1100,532,79,5977.72,111
1101,796,117,4041.82,290
1102,427,7,3701.21,295
1103,900,9,3468.43,215
1104,824,115,6190.7,120
1105,422,48,4451.98,55
1106,236,72,8327.04,27
1107,1068,114,6712.55,118
1108,921,59,745.82,221
1109,893,87,6419.67,231
1110,772,93,2747.92,53
1111,593,82,5948.48,295
1112,1050,95,6817.31,321
1113,125,94,2346.75,233
1114,514,116,4595.74,158
1115,260,39,1943.73,269
1116,778,99,570.77,21
1117,570,18,3815.84,53
1118,1089,59,3661.3,275
1119,554,106,9955.03,313
1120,607,103,4491.21,281
1121,711,17,3369.02,214
1122,586,14,5825.73,31
1123,1042,31,933.24,337
1124,675,24,9618.57,183
1125,825,99,6367.85,23
1126,1081,108,7560.64,32
1127,219,60,1746.26,74
1128,662,45,4124.3,10
1129,657,98,4255.76,54
1130,1002,3,8226.97,52
1131,739,37,62.3,148
1132,678,43,3043.49,160
1133,347,40,9813.3,14
1134,713,90,4775.12,178
1135,693,55,3856.14,53
1136,471,87,1242.3,335
1137,593,108,9742.94,22
1138,981,39,249.26,30
1139,728,15,7384.94,191
1140,142,113,7697.57,260
1141,31,4,2474.38,205
1142,671,93,6732.01,59
1143,249,86,974.64,264
1144,884,25,2607.62,12
1145,414,13,7889.62,119
1146,759,82,8653.63,290
1147,276,33,6104.44,338
1148,865,16,5093.04,248
1149,232,109,1635.08,354
1150,152,42,677.93,127
1151,430,108,1220.61,75
1152,796,66,2312.21,361
1153,323,55,3449.66,204
