customer_id,customer_type,lifetime_value,churn,support_tickets,retention_days
CUST_00001,SMB,8177.7,0,7,339.9
CUST_00002,Startup,2245.55,1,7,285.4
CUST_00003,Startup,2281.49,1,2,259.4
CUST_00004,Startup,2066.64,0,1,260.9
CUST_00005,SMB,8412.57,0,5,304.2
CUST_00006,SMB,8082.28,0,10,483.9
CUST_00007,SMB,9579.57,0,3,388.6
CUST_00008,Startup,1419.9,0,3,231.7
CUST_00009,Startup,2295.3,0,2,271.4
CUST_00010,Startup,2049.94,0,2,299.7
CUST_00011,Enterprise,140652.89,0,1,1194.5
CUST_00012,Startup,1887.98,0,3,233.1
CUST_00013,Startup,2060.88,0,1,219.4
CUST_00014,SMB,7637.46,0,7,455.0
CUST_00015,SMB,6620.68,0,2,376.1
CUST_00016,SMB,7482.39,0,7,433.4
CUST_00017,SMB,8240.02,0,11,438.3
CUST_00018,Startup,1949.86,0,4,285.9
CUST_00019,SMB,8191.1,0,4,422.8
CUST_00020,SMB,8249.38,0,6,514.6
CUST_00021,Startup,2322.09,1,3,238.9
CUST_00022,SMB,8367.1,1,1,388.5
CUST_00023,SMB,9565.52,0,5,416.1
CUST_00024,SMB,8648.64,0,3,479.2
CUST_00025,Startup,2195.06,0,4,276.0
CUST_00026,Startup,1927.63,0,0,294.1
CUST_00027,SMB,6748.46,0,9,506.6
CUST_00028,Startup,2374.76,0,1,299.7
CUST_00029,Startup,1797.08,0,1,352.0
CUST_00030,Enterprise,126128.93,0,1,1306.5
CUST_00031,Startup,1864.31,0,4,183.0
CUST_00032,SMB,7033.02,0,6,417.1
CUST_00033,SMB,8208.38,1,2,297.5
CUST_00034,Startup,1699.51,0,3,268.8
CUST_00035,Startup,2082.65,0,0,248.1
CUST_00036,Startup,2543.59,0,4,294.3
CUST_00037,SMB,8114.53,0,4,477.0
CUST_00038,SMB,6968.42,0,8,388.2
CUST_00039,Startup,1849.32,1,4,288.5
CUST_00040,SMB,6135.67,0,4,365.9
CUST_00041,SMB,7894.61,0,6,526.8
CUST_00042,Startup,2413.04,0,3,311.1
CUST_00043,Enterprise,149616.69,0,2,1367.3
CUST_00044,Startup,2344.63,0,4,210.4
CUST_00045,SMB,7532.3,0,2,440.8
CUST_00046,Startup,2023.05,0,3,228.7
CUST_00047,SMB,7161.61,0,3,451.2
CUST_00048,Startup,2114.58,0,2,297.2
CUST_00049,Startup,1978.52,0,1,278.5
CUST_00050,SMB,7869.08,0,2,357.9
CUST_00051,Startup,2041.8,0,4,298.1
CUST_00052,Startup,1718.46,0,3,305.8
CUST_00053,Startup,1942.8,0,7,288.7
CUST_00054,Startup,2059.27,0,2,298.0
CUST_00055,Startup,1768.51,0,1,291.9
CUST_00056,Startup,1980.76,0,5,293.2
CUST_00057,SMB,9046.92,0,5,454.2
CUST_00058,SMB,6903.72,0,4,333.6
CUST_00059,Enterprise,174630.23,0,1,1351.0
CUST_00060,SMB,8059.14,0,1,487.6
CUST_00061,SMB,6610.43,0,6,321.3
CUST_00062,SMB,8758.93,0,4,436.9
CUST_00063,Startup,1492.11,0,3,276.1
CUST_00064,SMB,9514.52,0,2,466.4
CUST_00065,SMB,7030.8,0,3,453.1
CUST_00066,Startup,1994.11,0,1,302.1
CUST_00067,SMB,8471.96,0,5,428.4
CUST_00068,Startup,1626.84,0,4,252.3
CUST_00069,SMB,7164.65,0,4,548.7
CUST_00070,Startup,2013.14,0,2,274.1
CUST_00071,Startup,1973.52,0,2,383.2
CUST_00072,SMB,9677.7,0,3,386.8
CUST_00073,Enterprise,125654.31,0,0,1306.3
CUST_00074,Startup,1669.77,0,1,251.5
CUST_00075,Startup,2070.14,0,3,217.8
CUST_00076,Startup,2208.5,0,1,357.9
CUST_00077,Startup,2167.5,0,3,283.0
CUST_00078,SMB,9583.47,0,5,401.6
CUST_00079,SMB,9213.1,0,3,428.5
CUST_00080,SMB,8503.74,0,1,454.9
CUST_00081,Startup,1764.2,0,4,226.8
CUST_00082,Startup,2116.57,0,5,379.7
CUST_00083,SMB,7561.41,0,5,490.0
CUST_00084,SMB,8536.51,0,9,366.1
CUST_00085,SMB,5474.28,0,2,423.8
CUST_00086,SMB,8507.76,0,3,423.2
CUST_00087,Startup,1637.09,0,2,304.0
CUST_00088,Startup,1935.97,1,1,339.6
CUST_00089,Startup,1830.91,0,1,263.6
CUST_00090,Startup,1883.55,0,5,286.8
CUST_00091,SMB,6956.03,0,4,407.5
CUST_00092,Startup,2263.59,1,2,310.5
CUST_00093,Startup,2258.93,0,2,248.1
CUST_00094,Startup,1701.77,0,2,278.8
CUST_00095,Startup,1642.08,0,3,278.4
CUST_00096,Startup,2441.35,0,5,271.6
CUST_00097,Startup,1973.5,0,4,316.9
CUST_00098,SMB,6808.71,0,3,423.8
CUST_00099,Enterprise,144520.18,0,0,1268.5
CUST_00100,SMB,6652.87,0,4,361.7
CUST_00101,Enterprise,167785.56,0,0,1321.9
CUST_00102,Startup,2298.81,0,2,249.7
CUST_00103,SMB,9328.19,0,4,453.4
CUST_00104,Startup,2017.1,0,3,290.7
CUST_00105,Startup,2167.05,0,3,271.6
CUST_00106,SMB,7778.75,0,8,403.4
CUST_00107,SMB,8490.97,0,5,464.1
CUST_00108,Startup,1971.69,0,4,276.6
CUST_00109,SMB,10300.41,0,6,484.5
CUST_00110,SMB,7749.53,0,5,418.8
CUST_00111,SMB,9669.9,0,4,443.7
CUST_00112,SMB,7215.1,0,3,458.9
CUST_00113,Startup,1754.84,0,4,196.2
CUST_00114,Startup,2349.96,0,3,257.1
CUST_00115,Startup,2462.63,0,5,360.2
CUST_00116,Startup,2334.77,0,3,254.0
CUST_00117,Startup,1784.95,0,5,205.3
CUST_00118,SMB,9861.81,0,4,355.4
CUST_00119,Startup,1624.0,0,1,293.9
CUST_00120,Startup,2042.27,0,5,209.3
CUST_00121,Startup,1942.37,0,1,335.6
CUST_00122,Startup,1991.75,0,3,350.9
CUST_00123,SMB,8395.31,0,2,385.6
CUST_00124,SMB,7023.62,0,6,366.5
CUST_00125,SMB,7473.92,1,4,419.2
CUST_00126,SMB,8247.08,0,3,425.2
CUST_00127,Startup,2238.28,0,4,229.8
CUST_00128,Startup,1779.62,0,2,247.6
CUST_00129,Enterprise,156432.25,0,2,1319.3
CUST_00130,Startup,1678.36,0,6,163.1
CUST_00131,SMB,8020.79,0,3,376.3
CUST_00132,SMB,7290.97,0,7,389.4
CUST_00133,SMB,8883.11,0,4,415.3
CUST_00134,SMB,8113.27,0,7,333.7
CUST_00135,Startup,2294.77,0,4,306.3
CUST_00136,SMB,7453.49,0,4,389.1
CUST_00137,Startup,2057.46,0,5,289.6
CUST_00138,Startup,1943.86,0,0,319.4
CUST_00139,SMB,9187.39,0,3,575.4
CUST_00140,Startup,2081.29,0,4,292.2
CUST_00141,Startup,1972.65,0,1,190.4
CUST_00142,SMB,8840.62,1,3,452.8
CUST_00143,Startup,2229.08,0,5,330.3
CUST_00144,SMB,6820.96,0,2,491.3
CUST_00145,SMB,8586.69,0,5,391.5
CUST_00146,Enterprise,165430.24,0,4,1118.3
CUST_00147,Startup,2081.81,0,1,306.0
CUST_00148,Startup,2332.12,0,2,275.2
CUST_00149,SMB,7464.67,0,7,414.6
CUST_00150,SMB,8888.66,0,4,388.4
CUST_00151,Startup,1434.44,0,3,268.1
CUST_00152,SMB,8950.31,0,2,522.6
CUST_00153,SMB,8070.05,1,3,489.7
CUST_00154,Startup,2079.55,0,4,305.7
CUST_00155,Startup,2442.22,0,6,265.9
CUST_00156,SMB,7034.5,0,7,421.8
CUST_00157,Startup,1777.26,0,0,227.2
CUST_00158,Startup,1871.21,0,2,252.3
CUST_00159,SMB,6495.28,0,1,465.6
CUST_00160,Startup,2325.34,0,3,256.9
CUST_00161,SMB,8213.2,1,6,374.9
CUST_00162,Startup,1787.48,0,4,219.5
CUST_00163,Startup,1855.08,0,0,285.9
CUST_00164,Startup,2483.67,0,3,315.9
CUST_00165,SMB,9521.4,1,5,390.5
CUST_00166,Startup,1970.42,0,4,280.8
CUST_00167,SMB,6856.27,1,4,426.5
CUST_00168,SMB,8159.86,0,7,358.3
CUST_00169,Enterprise,146013.46,0,3,1393.3
CUST_00170,Startup,2238.05,0,4,210.1
CUST_00171,Startup,1668.29,0,1,271.4
CUST_00172,Enterprise,150743.68,0,1,1233.9
CUST_00173,Startup,1494.97,0,2,247.8
CUST_00174,SMB,7973.59,0,2,436.8
CUST_00175,Startup,2163.89,0,0,280.3
CUST_00176,SMB,7911.64,0,2,397.8
CUST_00177,Startup,2168.28,0,6,268.2
CUST_00178,SMB,7892.7,0,4,446.9
CUST_00179,Startup,2191.42,0,2,300.0
CUST_00180,SMB,7831.86,0,5,391.7
CUST_00181,SMB,7794.71,0,7,560.0
CUST_00182,SMB,10644.34,0,7,329.8
CUST_00183,Startup,1800.35,0,4,314.9
CUST_00184,Startup,2076.58,0,1,321.8
CUST_00185,SMB,7404.34,0,9,502.5
CUST_00186,Startup,2349.74,0,1,271.8
CUST_00187,Startup,2178.07,0,1,162.4
CUST_00188,Startup,2587.12,0,2,270.3
CUST_00189,Startup,2343.62,0,2,258.7
CUST_00190,SMB,7464.39,1,9,471.4
CUST_00191,SMB,7973.48,1,2,367.1
CUST_00192,Startup,1762.27,0,3,267.7
CUST_00193,Startup,1861.02,0,2,271.2
CUST_00194,Startup,1951.59,0,2,251.6
CUST_00195,SMB,7845.08,0,6,462.0
CUST_00196,SMB,7145.33,0,4,440.1
CUST_00197,Startup,1668.39,0,4,311.3
CUST_00198,Startup,1778.36,0,1,315.6
CUST_00199,Startup,1842.77,0,1,286.1
CUST_00200,Startup,1812.14,0,1,280.6
CUST_00201,Startup,2247.53,0,1,245.3
CUST_00202,SMB,8728.68,0,6,390.7
CUST_00203,SMB,7934.45,0,2,538.9
CUST_00204,Startup,2156.67,0,5,247.3
CUST_00205,Startup,2184.73,1,4,328.2
CUST_00206,Enterprise,141741.95,0,0,1127.9
CUST_00207,SMB,7546.75,0,5,507.1
CUST_00208,Startup,2291.28,0,3,344.1
CUST_00209,Enterprise,132158.82,0,0,1414.3
CUST_00210,SMB,7671.38,0,1,456.2
CUST_00211,Startup,1476.85,0,0,284.8
CUST_00212,Startup,1542.4,1,1,234.6
CUST_00213,Startup,1231.3,0,1,272.4
CUST_00214,SMB,8538.06,0,6,417.5
CUST_00215,Startup,1928.69,0,0,287.7
CUST_00216,SMB,8980.85,0,2,375.5
CUST_00217,SMB,8988.67,0,4,338.9
CUST_00218,Startup,1317.95,0,1,242.5
CUST_00219,Startup,1969.02,0,1,214.3
CUST_00220,Startup,2161.13,1,2,282.1
CUST_00221,Startup,2101.64,0,3,240.2
CUST_00222,Startup,2474.16,0,3,239.4
CUST_00223,SMB,8330.07,1,1,457.2
CUST_00224,SMB,7164.86,0,5,545.4
CUST_00225,SMB,8841.53,0,2,382.9
CUST_00226,SMB,7799.25,0,5,346.1
CUST_00227,Startup,1520.56,0,1,298.5
CUST_00228,SMB,8162.74,0,10,422.5
CUST_00229,Startup,2417.74,0,3,327.0
CUST_00230,Startup,1624.88,0,2,304.2
CUST_00231,Startup,1868.98,0,2,277.4
CUST_00232,Startup,2223.26,0,0,272.8
CUST_00233,Startup,1805.19,0,6,332.9
CUST_00234,Startup,1408.97,0,1,315.7
CUST_00235,SMB,6473.73,1,1,422.0
CUST_00236,Startup,1877.89,0,4,307.5
CUST_00237,SMB,7101.22,0,7,340.2
CUST_00238,Enterprise,141739.18,0,0,1147.4
CUST_00239,Startup,2003.34,0,6,308.4
CUST_00240,SMB,8109.47,0,2,483.2
CUST_00241,Startup,2207.07,1,3,177.7
CUST_00242,Startup,2203.81,0,3,234.0
CUST_00243,Startup,2259.08,0,6,303.2
CUST_00244,SMB,7401.57,0,5,433.7
CUST_00245,Enterprise,159756.75,0,2,1099.7
CUST_00246,Startup,2598.7,0,9,404.4
CUST_00247,SMB,7464.04,0,9,452.4
CUST_00248,Startup,2208.66,0,0,314.0
CUST_00249,Startup,1544.64,0,3,265.7
CUST_00250,Startup,2545.77,0,3,281.6
CUST_00251,SMB,7521.16,0,8,368.2
CUST_00252,SMB,7630.72,0,4,428.6
CUST_00253,Startup,1811.22,1,4,341.3
CUST_00254,SMB,7844.1,0,6,387.1
CUST_00255,SMB,7036.24,0,3,362.6
CUST_00256,Startup,2454.08,0,2,255.5
CUST_00257,Startup,1751.45,0,2,253.5
CUST_00258,Startup,2026.27,1,2,295.8
CUST_00259,Startup,2059.2,0,2,247.5
CUST_00260,SMB,9189.91,0,5,480.8
CUST_00261,Startup,2165.44,0,4,293.6
CUST_00262,Startup,1540.67,0,3,300.6
CUST_00263,SMB,7135.61,0,5,411.5
CUST_00264,Startup,2524.88,0,2,335.3
CUST_00265,Startup,2088.27,0,0,270.6
CUST_00266,Startup,1764.87,0,1,252.4
CUST_00267,Startup,2511.5,0,1,268.0
CUST_00268,Startup,2149.91,0,3,298.9
CUST_00269,SMB,8154.34,1,5,522.7
CUST_00270,SMB,8303.82,0,5,463.3
CUST_00271,Startup,2161.5,1,3,287.4
CUST_00272,Startup,2007.62,1,2,203.2
CUST_00273,Startup,1852.06,0,1,337.7
CUST_00274,Startup,2162.81,0,3,238.4
CUST_00275,Startup,1674.45,0,3,247.0
CUST_00276,Startup,1799.58,0,3,320.2
CUST_00277,Startup,1931.06,0,3,245.9
CUST_00278,Startup,2052.45,0,2,286.6
CUST_00279,Startup,1703.66,0,1,301.4
CUST_00280,Startup,2292.75,0,1,316.7
CUST_00281,Startup,1915.69,0,1,297.0
CUST_00282,SMB,10426.72,0,2,446.0
CUST_00283,SMB,9021.38,0,5,545.3
CUST_00284,SMB,9015.23,0,3,405.5
CUST_00285,Startup,1731.4,0,3,263.7
CUST_00286,Enterprise,109728.18,0,1,1276.0
CUST_00287,Startup,2786.24,0,2,235.5
CUST_00288,Startup,2084.19,0,5,350.3
CUST_00289,SMB,8333.73,0,3,402.1
CUST_00290,Startup,1987.15,1,4,282.3
CUST_00291,Enterprise,140899.5,0,3,1271.1
CUST_00292,Enterprise,133831.92,0,1,1181.1
CUST_00293,Startup,1818.58,0,2,191.8
CUST_00294,SMB,8651.52,0,0,351.7
CUST_00295,SMB,8598.79,0,6,460.1
CUST_00296,Startup,2122.93,0,2,245.6
CUST_00297,Startup,2088.97,0,6,298.5
CUST_00298,SMB,9809.31,0,3,406.9
CUST_00299,Startup,2255.19,0,1,273.7
CUST_00300,SMB,7092.24,0,7,511.2
CUST_00301,SMB,7182.6,0,6,383.4
CUST_00302,Startup,1715.17,0,0,337.4
CUST_00303,Startup,1900.21,0,0,299.7
CUST_00304,Startup,1629.4,0,6,326.6
CUST_00305,Startup,1787.81,0,6,285.0
CUST_00306,Startup,1970.8,0,0,259.8
CUST_00307,Startup,2364.44,0,2,256.1
CUST_00308,SMB,9334.9,1,11,457.8
CUST_00309,Startup,2149.96,0,3,224.0
CUST_00310,SMB,9118.46,0,3,453.0
CUST_00311,SMB,6941.09,0,5,508.9
CUST_00312,SMB,8404.1,0,5,358.7
CUST_00313,Enterprise,173312.41,0,3,1335.4
CUST_00314,Startup,1669.05,0,4,267.5
CUST_00315,Startup,1757.77,0,6,274.0
CUST_00316,Startup,1731.33,0,1,319.8
CUST_00317,SMB,8253.17,0,3,469.2
CUST_00318,SMB,8343.07,0,2,438.5
CUST_00319,SMB,7340.4,0,2,377.7
CUST_00320,SMB,6297.79,0,3,392.2
CUST_00321,Startup,1769.0,0,1,228.2
CUST_00322,Startup,1886.18,0,2,293.3
CUST_00323,Startup,1424.57,0,3,274.0
CUST_00324,SMB,8349.8,0,3,359.8
CUST_00325,Startup,1644.24,0,5,187.1
CUST_00326,Startup,1916.33,0,5,313.8
CUST_00327,Startup,1918.06,0,2,322.2
CUST_00328,Startup,2078.59,0,3,229.8
CUST_00329,SMB,9476.93,0,3,349.9
CUST_00330,SMB,8441.99,0,6,394.2
CUST_00331,SMB,8116.17,0,4,369.3
CUST_00332,Startup,1891.81,0,0,301.6
CUST_00333,Enterprise,154442.77,0,1,1287.5
CUST_00334,SMB,5912.97,1,3,384.9
CUST_00335,Enterprise,140157.06,0,1,1176.7
CUST_00336,Enterprise,140897.02,0,1,1295.8
CUST_00337,Startup,2351.5,0,0,265.4
CUST_00338,Startup,1820.19,0,4,235.6
CUST_00339,Startup,2016.9,0,2,259.5
CUST_00340,SMB,6446.87,1,4,401.9
CUST_00341,Startup,2366.37,0,3,260.5
