customer_id,customer_name,customer_segment,signup_date
1,Customer_1,B2C,2024-01-01
2,Customer_2,SMB,2024-01-02
3,Customer_3,B2C,2024-01-03
4,Customer_4,B2C,2024-01-04
5,Customer_5,B2B,2024-01-05
6,Customer_6,B2B,2024-01-06
7,Customer_7,B2B,2024-01-07
8,Customer_8,SMB,2024-01-08
9,Customer_9,B2C,2024-01-09
10,Customer_10,B2C,2024-01-10
11,Customer_11,B2B,2024-01-11
12,Customer_12,SMB,2024-01-12
13,Customer_13,SMB,2024-01-13
14,Customer_14,B2B,2024-01-14
15,Customer_15,B2B,2024-01-15
16,Customer_16,B2B,2024-01-16
17,Customer_17,B2C,2024-01-17
18,Customer_18,B2C,2024-01-18
19,Customer_19,B2C,2024-01-19
20,Customer_20,B2B,2024-01-20
21,Customer_21,B2C,2024-01-21
22,Customer_22,B2B,2024-01-22
23,Customer_23,B2B,2024-01-23
24,Customer_24,B2C,2024-01-24
25,Customer_25,B2C,2024-01-25
26,Customer_26,B2C,2024-01-26
27,Customer_27,B2B,2024-01-27
28,Customer_28,B2C,2024-01-28
29,Customer_29,B2C,2024-01-29
30,Customer_30,B2B,2024-01-30
31,Customer_31,B2C,2024-01-31
32,Customer_32,B2B,2024-02-01
33,Customer_33,B2B,2024-02-02
34,Customer_34,SMB,2024-02-03
35,Customer_35,SMB,2024-02-04
36,Customer_36,SMB,2024-02-05
37,Customer_37,B2C,2024-02-06
38,Customer_38,B2B,2024-02-07
39,Customer_39,B2C,2024-02-08
40,Customer_40,B2C,2024-02-09
41,Customer_41,B2B,2024-02-10
42,Customer_42,B2C,2024-02-11
43,Customer_43,B2B,2024-02-12
44,Customer_44,SMB,2024-02-13
45,Customer_45,B2B,2024-02-14
46,Customer_46,B2C,2024-02-15
47,Customer_47,B2C,2024-02-16
48,Customer_48,B2C,2024-02-17
49,Customer_49,B2C,2024-02-18
50,Customer_50,B2B,2024-02-19
51,Customer_51,SMB,2024-02-20
52,Customer_52,B2C,2024-02-21
53,Customer_53,SMB,2024-02-22
54,Customer_54,SMB,2024-02-23
55,Customer_55,B2C,2024-02-24
56,Customer_56,SMB,2024-02-25
57,Customer_57,B2B,2024-02-26
58,Customer_58,B2B,2024-02-27
59,Customer_59,B2B,2024-02-28
60,Customer_60,B2C,2024-02-29
61,Customer_61,B2C,2024-03-01
62,Customer_62,B2B,2024-03-02
63,Customer_63,SMB,2024-03-03
64,Customer_64,B2C,2024-03-04
65,Customer_65,B2B,2024-03-05
66,Customer_66,B2C,2024-03-06
67,Customer_67,B2B,2024-03-07
68,Customer_68,SMB,2024-03-08
69,Customer_69,B2B,2024-03-09
70,Customer_70,SMB,2024-03-10
71,Customer_71,B2C,2024-03-11
72,Customer_72,B2B,2024-03-12
73,Customer_73,B2B,2024-03-13
74,Customer_74,SMB,2024-03-14
75,Customer_75,B2C,2024-03-15
76,Customer_76,B2C,2024-03-16
77,Customer_77,B2C,2024-03-17
78,Customer_78,B2B,2024-03-18
79,Customer_79,B2C,2024-03-19
80,Customer_80,B2B,2024-03-20
81,Customer_81,SMB,2024-03-21
82,Customer_82,B2C,2024-03-22
83,Customer_83,B2C,2024-03-23
84,Customer_84,B2B,2024-03-24
85,Customer_85,B2C,2024-03-25
86,Customer_86,B2C,2024-03-26
87,Customer_87,B2C,2024-03-27
88,Customer_88,B2C,2024-03-28
89,Customer_89,SMB,2024-03-29
90,Customer_90,B2C,2024-03-30
91,Customer_91,B2B,2024-03-31
92,Customer_92,B2C,2024-04-01
93,Customer_93,B2C,2024-04-02
94,Customer_94,B2C,2024-04-03
95,Customer_95,B2C,2024-04-04
96,Customer_96,B2C,2024-04-05
97,Customer_97,B2C,2024-04-06
98,Customer_98,B2C,2024-04-07
99,Customer_99,B2B,2024-04-08
100,Customer_100,B2B,2024-04-09
101,Customer_101,B2B,2024-04-10
102,Customer_102,B2C,2024-04-11
103,Customer_103,B2C,2024-04-12
104,Customer_104,B2C,2024-04-13
105,Customer_105,SMB,2024-04-14
106,Customer_106,B2B,2024-04-15
107,Customer_107,B2C,2024-04-16
108,Customer_108,B2C,2024-04-17
109,Customer_109,B2B,2024-04-18
110,Customer_110,B2B,2024-04-19
111,Customer_111,B2B,2024-04-20
112,Customer_112,B2B,2024-04-21
113,Customer_113,SMB,2024-04-22
114,Customer_114,SMB,2024-04-23
115,Customer_115,B2C,2024-04-24
116,Customer_116,SMB,2024-04-25
117,Customer_117,SMB,2024-04-26
118,Customer_118,B2B,2024-04-27
119,Customer_119,SMB,2024-04-28
120,Customer_120,B2C,2024-04-29
121,Customer_121,SMB,2024-04-30
122,Customer_122,SMB,2024-05-01
123,Customer_123,B2C,2024-05-02
124,Customer_124,B2B,2024-05-03
125,Customer_125,B2B,2024-05-04
