date,amount,transaction_count,signup_rate
2025-01-01,10745.07,505,163
2025-01-02,9792.6,548,133
2025-01-03,10971.53,465,129
2025-01-04,12284.54,484,160
2025-01-05,9648.77,480,146
2025-01-06,9648.79,427,164
2025-01-07,12368.82,515,159
2025-01-08,11151.15,513,149
2025-01-09,9295.79,500,133
2025-01-10,10813.84,488,120
2025-01-11,9304.87,429,141
2025-01-12,9301.41,479,167
2025-01-13,10362.94,483,154
2025-01-14,7130.08,460,125
2025-01-15,7412.62,492,153
2025-01-16,9156.57,520,158
2025-01-17,8480.75,594,132
2025-01-18,10471.37,509,153
2025-01-19,8637.96,513,151
2025-01-20,7881.54,496,127
2025-01-21,4500.0,404,157
2025-01-22,9661.34,499,161
2025-01-23,10101.29,503,172
2025-01-24,7862.88,623,171
2025-01-25,9183.43,490,122
2025-01-26,10166.38,515,131
2025-01-27,8273.51,498,160
2025-01-28,10563.55,442,160
2025-01-29,9099.04,557,160
2025-01-30,9562.46,538,227
2025-01-31,9097.44,540,161
2025-02-01,12778.42,455,173
2025-02-02,9979.75,570,169
2025-02-03,8413.43,430,163
2025-02-04,11233.82,529,144
2025-02-05,8168.73,610,165
2025-02-06,10313.3,450,135
2025-02-07,7060.49,472,145
2025-02-08,8007.72,505,140
2025-02-09,10295.29,475,152
2025-02-10,11107.7,422,196
2025-02-11,10257.05,503,113
2025-02-12,9826.53,447,164
2025-02-13,9548.34,524,118
2025-02-14,2000.0,45,8
2025-02-15,8920.23,577,172
2025-02-16,9309.04,461,151
2025-02-17,11585.68,484,128
2025-02-18,10515.43,541,136
2025-02-19,7355.44,438,164
2025-02-20,10486.13,511,135
2025-02-21,9422.38,565,154
2025-02-22,8984.62,420,151
2025-02-23,10917.51,509,137
2025-02-24,11546.5,513,193
2025-02-25,11396.92,539,163
2025-02-26,8741.17,438,109
2025-02-27,9536.18,434,154
2025-02-28,10496.9,526,137
2025-03-01,11463.32,515,167
2025-03-02,16500.0,513,134
2025-03-03,9721.51,517,148
2025-03-04,8340.5,466,160
2025-03-05,8205.69,512,167
2025-03-06,11218.79,515,126
2025-03-07,12034.36,464,143
2025-03-08,9891.98,593,141
2025-03-09,11505.3,524,137
2025-03-10,10542.45,440,185
2025-03-11,9032.32,533,158
2025-03-12,10542.09,451,125
2025-03-13,12307.05,539,168
2025-03-14,9946.26,558,192
2025-03-15,12346.97,459,171
2025-03-16,48000.0,2200,680
2025-03-17,11232.85,521,140
2025-03-18,10130.57,541,175
2025-03-19,9551.49,595,136
2025-03-20,10137.64,488,159
2025-03-21,7018.65,462,165
2025-03-22,9670.49,456,131
2025-03-23,10535.67,459,149
2025-03-24,12216.84,496,85
2025-03-25,9222.59,517,130
2025-03-26,8787.26,514,145
2025-03-27,9247.36,541,125
2025-03-28,11373.1,501,183
2025-03-29,10493.13,573,121
2025-03-30,9205.36,487,141
2025-03-31,10769.9,636,153
