date,revenue,orders
2025-01-01,5245.07,106
2025-01-02,4317.33,67
2025-01-03,7037.47,155
2025-01-04,8383.45,130
2025-01-05,4247.67,92
2025-01-06,4272.42,68
2025-01-07,7017.17,126
2025-01-08,5824.23,89
2025-01-09,3993.59,85
2025-01-10,7110.54,126
2025-01-11,5634.54,87
2025-01-12,4073.38,73
2025-01-13,5159.65,89
2025-01-14,1951.51,33
2025-01-15,2258.78,41
2025-01-16,4027.45,69
2025-01-17,5008.23,88
2025-01-18,7031.81,111
2025-01-19,3583.02,78
2025-01-20,2851.32,56
2025-01-21,7192.98,112
2025-01-22,4680.57,74
2025-01-23,5145.25,95
2025-01-24,4621.12,80
2025-01-25,5974.63,118
2025-01-26,5284.52,108
2025-01-27,3416.37,62
2025-01-28,5731.13,110
2025-01-29,4291.35,75
2025-01-30,4779.49,102
2025-01-31,6086.45,94
2025-02-01,9800.4,151
2025-02-02,5270.96,89
2025-02-03,3729.37,66
2025-02-04,6574.48,128
2025-02-05,3534.12,57
2025-02-06,5703.41,97
2025-02-07,4280.28,88
2025-02-08,5260.47,83
2025-02-09,5759.58,93
2025-02-10,6596.71,103
2025-02-11,5770.79,96
2025-02-12,5364.99,93
2025-02-13,5111.53,95
2025-02-14,5232.77,82
2025-02-15,6403.75,102
2025-02-16,4946.4,107
2025-02-17,7247.77,159
2025-02-18,6202.24,118
2025-02-19,3066.98,50
2025-02-20,6222.39,96
2025-02-21,7103.7,147
2025-02-22,6698.9,117
2025-02-23,6727.95,127
2025-02-24,7381.66,114
2025-02-25,7256.81,117
2025-02-26,4625.79,74
2025-02-27,5445.52,100
2025-02-28,8408.98,157
2025-03-01,9408.37,186
2025-03-02,5264.76,114
2025-03-03,5729.75,91
2025-03-04,4373.46,71
2025-03-05,4263.38,65
2025-03-06,7301.21,112
2025-03-07,10177.22,181
2025-03-08,8067.81,133
2025-03-09,7661.89,119
2025-03-10,6723.77,108
2025-03-11,5238.36,104
2025-03-12,6772.86,125
2025-03-13,8562.55,179
2025-03-14,8319.89,129
2025-03-15,10753.56,188
2025-03-16,2400.05,48
2025-03-17,7587.25,129
2025-03-18,6509.69,113
2025-03-19,5955.34,114
2025-03-20,6566.21,138
2025-03-21,5623.04,96
2025-03-22,8307.85,149
2025-03-23,7038.42,116
2025-03-24,8744.31,157
2025-03-25,5774.79,93
2025-03-26,5364.18,95
2025-03-27,5849.01,104
2025-03-28,10208.27,163
2025-03-29,9361.26,176
2025-03-30,5881.18,123
2025-03-31,7470.45,163
2025-04-01,6870.89,114
2025-04-02,8202.97,142
2025-04-03,5721.65,96
2025-04-04,8574.44,174
2025-04-05,8510.74,178
2025-04-06,4653.63,102
2025-04-07,7317.81,140
2025-04-08,7289.93,128
2025-04-09,6930.75,131
2025-04-10,6595.92,122
2025-04-11,7173.65,113
2025-04-12,8698.7,167
2025-04-13,6507.91,117
2025-04-14,5843.29,96
2025-04-15,6829.5,129
2025-04-16,7702.23,134
2025-04-17,9950.16,159
2025-04-18,9789.34,152
2025-04-19,9946.77,207
2025-04-20,7083.39,111
2025-04-21,4341.62,79
2025-04-22,7204.73,143
2025-04-23,7359.58,135
2025-04-24,10988.82,170
2025-04-25,9469.7,172
2025-04-26,10243.53,198
2025-04-27,7316.06,126
2025-04-28,5639.84,113
2025-04-29,9131.82,196
2025-04-30,8570.21,180
2025-05-01,8653.58,181
2025-05-02,8624.93,179
2025-05-03,12126.17,253
2025-05-04,5438.43,94
2025-05-05,8446.22,173
2025-05-06,10876.34,209
2025-05-07,6129.58,97
2025-05-08,6790.66,124
2025-05-09,10369.26,177
2025-05-10,9497.53,196
2025-05-11,5388.29,110
2025-05-12,7841.86,171
2025-05-13,6170.28,127
2025-05-14,8498.85,168
2025-05-15,6434.05,132
2025-05-16,12775.45,273
2025-05-17,9308.64,196
2025-05-18,7404.27,136
2025-05-19,9132.36,185
2025-05-20,6090.52,116
2025-05-21,8302.73,150
2025-05-22,9946.98,169
2025-05-23,8270.09,180
2025-05-24,10991.24,180
2025-05-25,8450.26,146
2025-05-26,9257.9,198
2025-05-27,6254.46,100
2025-05-28,6153.93,97
2025-05-29,8942.25,193
2025-05-30,11357.56,224
2025-05-31,11320.79,185
2025-06-01,8753.19,145
2025-06-02,7238.2,148
2025-06-03,8631.35,175
2025-06-04,8747.3,166
2025-06-05,7260.89,132
2025-06-06,13941.52,243
2025-06-07,11886.57,226
2025-06-08,6619.64,122
2025-06-09,9416.15,157
2025-06-10,6994.02,152
2025-06-11,9661.4,193
2025-06-12,10243.39,172
2025-06-13,10142.6,161
2025-06-14,12851.66,232
2025-06-15,9198.84,165
2025-06-16,9837.49,208
2025-06-17,11474.31,212
2025-06-18,8285.76,148
2025-06-19,7547.97,151
2025-06-20,10270.12,203
2025-06-21,10413.65,198
