customer_id,revenue,transaction_count
100001,244.63,98
100002,1515.06,200
100003,668.37,62
100004,466.47,79
100005,94.81,185
100006,94.8,17
100007,39.92,70
100008,1015.62,22
100009,469.54,23
100010,625.63,230
100011,20.4,46
100012,1761.78,49
100013,903.21,198
100014,129.34,148
100015,110.34,225
100016,111.31,154
100017,191.38,112
100018,381.96,191
100019,292.77,230
100020,182.11,126
100021,483.19,19
100022,85.12,4
100023,182.76,72
100024,238.14,56
100025,314.47,220
100026,778.97,35
100027,121.37,92
100028,371.01,171
100029,458.75,212
100030,33.78,115
100031,477.67,248
100032,103.48,51
100033,43.63,154
100034,1496.84,48
100035,1695.32,160
100036,836.17,115
100037,191.64,94
100038,61.39,150
100039,586.38,51
100040,300.05,117
100041,75.08,160
100042,351.77,212
100043,27.5,14
100044,1210.21,204
100045,159.73,1
100046,553.13,107
100047,196.77,171
100048,377.06,23
100049,405.61,28
100050,112.19,150
100051,1756.4,177
100052,756.12,138
100053,1412.55,123
100054,1136.08,189
100055,465.53,164
100056,1284.72,89
100057,56.33,32
100058,119.07,151
100059,33.14,211
100060,206.77,247
100061,256.07,174
100062,168.28,145
100063,892.28,181
100064,230.61,113
100065,174.9,52
100066,401.2,178
100067,85.95,42
100068,820.24,114
100069,48.74,182
100070,2177.07,62
100071,749.74,24
100072,120.77,57
100073,12.77,134
100074,854.95,83
100075,623.55,115
100076,662.83,83
100077,747.61,237
100078,48.46,115
100079,231.95,76
100080,71.58,160
100081,1004.26,153
100082,498.15,64
100083,210.91,224
100084,42.83,4
100085,196.24,167
100086,206.66,130
100087,663.94,151
100088,517.44,199
100089,1101.13,84
100090,329.53,36
100091,73.69,188
100092,634.56,181
100093,725.2,17
100094,421.94,86
100095,746.94,71
100096,350.41,244
100097,379.84,104
100098,288.91,87
100099,22.87,206
100100,67.08,74
100101,25.97,238
100102,515.86,193
100103,198.7,249
100104,365.22,60
100105,1200.63,110
100106,153.37,249
100107,274.14,209
100108,714.37,40
100109,139.9,206
100110,50.05,49
100111,181.07,56
100112,97.9,81
100113,1337.48,10
100114,835.44,122
100115,511.75,210
100116,1035.76,163
100117,823.98,138
100118,113.25,43
100119,1125.41,20
100120,397.55,208
100121,833.67,145
100122,1142.12,248
100123,201.37,39
100124,68.3,50
100125,139.34,92
100126,288.53,73
100127,861.91,212
100128,995.67,198
100129,13.49,205
100130,367.44,201
100131,280.14,176
100132,135.58,161
100133,73.84,35
100134,215.95,150
100135,1441.56,151
100136,205.19,46
100137,375.73,89
100138,617.04,228
100139,235.99,119
100140,1793.9,7
100141,1651.0,15
100142,155.03,93
100143,353.83,200
100144,188.97,165
100145,177.62,202
100146,28.79,74
100147,480.25,60
100148,359.26,178
100149,36.43,109
100150,173.31,13
100151,1204.43,147
100152,146.93,240
100153,88.27,49
100154,346.14,23
100155,2132.02,55
100156,148.57,143
100157,567.58,209
100158,726.94,10
100159,145.67,184
100160,661.37,116
100161,239.26,104
100162,510.25,63
100163,511.92,185
100164,393.69,46
100165,57.31,161
100166,911.82,56
100167,203.41,109
100168,113.22,18
100169,30.81,68
100170,456.89,59
100171,575.93,132
100172,18.36,143
100173,368.82,159
100174,138.41,2
100175,528.06,204
100176,105.8,62
100177,597.11,161
100178,254.48,174
100179,1390.17,178
100180,83.97,148
100181,218.57,194
100182,70.22,231
100183,1303.1,65
100184,1059.17,84
100185,159.16,248
100186,549.38,24
100187,859.74,142
100188,415.07,49
100189,387.14,101
100190,148.44,169
100191,58.86,157
100192,1147.56,149
100193,1163.39,32
100194,511.33,187
100195,217.02,128
100196,224.78,53
100197,657.23,230
100198,1147.05,248
100199,1100.57,87
100200,766.78,221
100201,523.66,206
100202,53.95,63
100203,98.15,199
100204,1154.12,151
100205,476.25,81
100206,14.62,34
100207,63.5,224
100208,554.58,165
100209,12.54,133
100210,97.66,42
100211,407.85,237
100212,598.66,212
100213,537.72,200
100214,136.97,72
100215,632.71,88
100216,145.41,153
100217,206.82,46
100218,696.18,27
100219,534.39,96
100220,955.98,135
100221,545.91,188
100222,430.02,12
100223,59.18,112
100224,239.21,135
100225,164.08,109
100226,149.85,173
100227,1816.15,136
100228,259.69,132
100229,1123.03,156
100230,508.67,46
100231,801.91,189
100232,359.22,112
100233,440.08,208
100234,349.15,40
100235,118.61,34
100236,650.88,116
100237,174.79,27
100238,22.31,154
100239,528.48,235
100240,107.47,139
100241,1420.54,1
100242,1548.78,149
100243,1241.75,32
100244,241.14,203
100245,17.79,215
100246,1327.76,188
100247,289.47,68
100248,1710.42,130
100249,1666.87,84
100250,968.69,220
100251,184.39,54
100252,253.15,137
100253,962.36,235
100254,200.57,197
100255,102.86,138
100256,416.87,73
100257,1385.65,3
100258,605.41,31
100259,432.06,99
100260,61.11,132
100261,487.27,135
100262,2315.28,16
100263,85.46,16
100264,375.25,92
100265,1059.3,103
100266,685.02,114
100267,607.04,13
100268,616.14,236
100269,232.75,189
100270,183.78,212
100271,838.69,173
100272,840.66,248
100273,1018.98,196
100274,1232.31,152
100275,368.05,224
100276,358.09,86
100277,810.47,188
100278,534.86,126
100279,615.28,236
100280,804.31,188
100281,1113.66,5
100282,216.24,121
100283,245.47,98
100284,59.35,104
100285,441.71,160
100286,28.3,249
100287,323.3,88
100288,401.15,101
100289,178.82,136
100290,456.82,175
100291,25.49,210
100292,29.03,236
100293,874.68,73
100294,233.29,130
100295,77.94,65
100296,379.33,117
100297,744.82,199
100298,131.56,170
100299,497.61,20
100300,54.61,243
100301,36.53,139
100302,388.95,212
100303,398.96,109
100304,517.27,2
100305,657.48,97
100306,1871.78,86
100307,373.15,92
100308,205.01,159
100309,802.83,227
100310,167.93,10
100311,298.99,86
100312,50.85,209
100313,22.84,59
100314,1653.69,107
100315,913.88,230
100316,605.32,114
100317,272.93,135
100318,105.15,37
100319,95.06,13
100320,154.0,221
100321,408.4,118
100322,636.92,154
100323,549.7,3
100324,174.21,39
100325,1559.05,138
100326,679.51,165
100327,414.12,23
100328,483.02,20
100329,282.02,34
100330,152.33,4
100331,230.01,160
100332,719.09,109
100333,17.25,170
100334,71.69,146
100335,33.55,52
100336,30.79,129
100337,977.1,87
100338,618.12,108
100339,331.39,205
100340,61.48,132
100341,348.26,230
100342,330.73,201
100343,105.1,229
100344,294.45,174
100345,264.17,159
100346,488.36,66
100347,514.06,178
100348,33.18,80
100349,244.69,105
100350,501.56,149
100351,359.72,120
100352,980.67,149
100353,547.49,194
100354,98.93,52
100355,46.59,36
100356,524.2,71
100357,23.43,143
100358,450.67,101
100359,1418.63,73
100360,438.39,129
100361,255.65,16
100362,525.41,215
100363,316.48,216
100364,404.41,238
100365,1429.06,216
100366,253.96,138
100367,1634.55,39
100368,1188.79,240
100369,118.95,11
100370,45.94,30
100371,63.11,168
100372,19.19,161
100373,59.6,135
100374,584.44,134
100375,46.92,235
100376,202.08,124
100377,941.76,178
100378,21.77,180
100379,852.27,200
100380,175.54,208
100381,72.88,177
100382,606.58,124
100383,505.7,21
100384,1059.71,68
100385,674.15,111
100386,823.5,91
100387,175.67,35
100388,107.67,124
100389,704.38,129
100390,832.1,144
100391,2338.5,31
100392,276.04,59
100393,242.62,230
100394,758.98,18
100395,218.37,37
100396,1345.07,121
100397,987.42,138
100398,290.18,49
100399,704.89,23
100400,712.32,19
100401,64.42,113
100402,1174.22,247
100403,361.85,42
100404,885.67,135
100405,202.87,222
100406,1139.4,166
100407,256.49,41
100408,15.45,190
100409,1188.95,43
100410,57.86,108
100411,202.33,210
100412,1508.49,198
100413,1513.97,204
100414,436.0,11
100415,509.62,176
100416,307.51,130
100417,183.51,92
100418,209.24,210
100419,568.16,215
100420,707.92,77
100421,794.1,108
100422,789.42,212
100423,57.82,24
100424,351.02,77
100425,39.64,155
100426,408.73,143
100427,301.28,213
100428,1103.31,103
100429,226.1,2
100430,72.25,138
100431,87.15,210
100432,726.72,179
100433,491.45,229
100434,63.3,120
100435,53.93,240
100436,613.6,73
100437,47.77,76
100438,872.59,248
100439,622.5,189
100440,52.42,18
100441,54.33,117
100442,2167.73,109
100443,244.42,195
100444,241.53,20
100445,847.79,35
100446,1481.08,94
100447,2144.39,67
100448,709.95,15
100449,246.01,146
100450,53.6,227
100451,760.62,60
100452,418.68,10
100453,286.02,43
100454,1194.12,104
100455,68.94,72
100456,349.25,42
100457,15.71,117
100458,326.18,28
100459,38.98,57
100460,73.25,225
100461,72.51,209
100462,533.78,141
100463,695.3,231
100464,447.78,19
100465,1647.36,110
100466,244.9,39
100467,178.23,181
100468,1024.75,113
100469,136.54,79
100470,1661.44,187
100471,16.11,37
100472,1761.26,11
100473,32.06,97
100474,1118.86,204
100475,385.07,144
100476,2488.41,129
100477,48.33,150
100478,413.55,209
100479,1751.79,186
100480,380.22,176
100481,506.31,47
100482,604.95,54
100483,313.06,147
100484,503.84,119
100485,448.91,64
100486,1167.12,66
100487,33.26,16
100488,174.92,167
100489,1512.0,149
100490,1114.84,45
100491,314.09,193
100492,493.97,23
100493,172.44,126
100494,114.2,170
100495,321.53,215
100496,227.98,10
100497,448.12,84
100498,50.46,12
100499,1842.48,95
100500,2151.93,41
100501,608.93,119
100502,394.04,56
100503,195.19,206
100504,850.45,134
100505,587.16,37
100506,98.74,108
100507,1219.15,154
100508,874.5,207
100509,1505.87,192
100510,656.8,2
100511,485.2,1
100512,280.85,87
100513,1359.51,3
100514,1015.2,3
100515,33.14,157
100516,23.36,22
100517,246.17,14
100518,841.82,57
100519,2192.14,191
100520,91.5,76
100521,460.86,208
100522,249.74,173
100523,1761.85,160
100524,932.96,132
100525,921.1,6
100526,326.21,121
100527,277.92,101
100528,169.69,38
100529,39.01,150
100530,1010.21,39
100531,848.06,117
100532,4096.22,20
100533,2857.44,8
100534,415.33,27
100535,742.64,152
100536,1458.09,91
100537,957.39,84
100538,152.08,106
100539,309.41,202
100540,79.15,245
100541,1550.11,84
100542,475.92,203
100543,139.8,65
