order_id,customer_id,order_amount,order_date
5001,864,50.31,2025-01-01 00:00:00
5002,61,235.2,2025-01-01 01:00:00
5003,367,160.17,2025-01-01 02:00:00
5004,641,412.97,2025-01-01 03:00:00
5005,265,37.92,2025-01-01 04:00:00
5006,388,215.12,2025-01-01 05:00:00
5007,825,234.63,2025-01-01 06:00:00
5008,1040,365.25,2025-01-01 07:00:00
5009,710,291.4,2025-01-01 08:00:00
5010,130,336.93,2025-01-01 09:00:00
5011,776,390.75,2025-01-01 10:00:00
5012,534,432.48,2025-01-01 11:00:00
5013,423,163.8,2025-01-01 12:00:00
5014,1025,273.63,2025-01-01 13:00:00
5015,759,421.65,2025-01-01 14:00:00
5016,249,494.83,2025-01-01 15:00:00
5017,586,445.86,2025-01-01 16:00:00
5018,515,192.02,2025-01-01 17:00:00
5019,138,105.63,2025-01-01 18:00:00
5020,317,249.8,2025-01-01 19:00:00
5021,704,373.4,2025-01-01 20:00:00
5022,620,251.36,2025-01-01 21:00:00
5023,971,246.76,2025-01-01 22:00:00
5024,538,420.73,2025-01-01 23:00:00
5025,926,187.09,2025-01-02 00:00:00
5026,587,431.3,2025-01-02 01:00:00
5027,96,209.33,2025-01-02 02:00:00
5028,337,170.83,2025-01-02 03:00:00
5029,827,232.46,2025-01-02 04:00:00
5030,65,383.6,2025-01-02 05:00:00
5031,760,71.74,2025-01-02 06:00:00
5032,450,106.25,2025-01-02 07:00:00
5033,968,476.21,2025-01-02 08:00:00
5034,843,95.99,2025-01-02 09:00:00
5035,1030,288.19,2025-01-02 10:00:00
5036,135,293.86,2025-01-02 11:00:00
5037,299,249.92,2025-01-02 12:00:00
5038,440,325.93,2025-01-02 13:00:00
5039,831,122.62,2025-01-02 14:00:00
5040,384,280.8,2025-01-02 15:00:00
5041,678,192.36,2025-01-02 16:00:00
5042,568,334.22,2025-01-02 17:00:00
5043,186,79.2,2025-01-02 18:00:00
5044,932,289.73,2025-01-02 19:00:00
5045,737,100.78,2025-01-02 20:00:00
5046,889,146.54,2025-01-02 21:00:00
5047,547,117.17,2025-01-02 22:00:00
5048,876,99.59,2025-01-02 23:00:00
5049,776,414.6,2025-01-03 00:00:00
5050,526,150.0,2025-01-03 01:00:00
5051,643,464.29,2025-01-03 02:00:00
5052,272,485.26,2025-01-03 03:00:00
5053,1039,289.92,2025-01-03 04:00:00
5054,421,80.07,2025-01-03 05:00:00
5055,984,193.53,2025-01-03 06:00:00
5056,1044,400.89,2025-01-03 07:00:00
5057,451,190.02,2025-01-03 08:00:00
5058,492,52.64,2025-01-03 09:00:00
5059,539,282.82,2025-01-03 10:00:00
5060,664,424.11,2025-01-03 11:00:00
5061,322,400.0,2025-01-03 12:00:00
5062,575,95.81,2025-01-03 13:00:00
5063,208,339.65,2025-01-03 14:00:00
5064,201,118.05,2025-01-03 15:00:00
5065,1044,116.92,2025-01-03 16:00:00
5066,669,438.3,2025-01-03 17:00:00
5067,237,132.34,2025-01-03 18:00:00
5068,862,138.99,2025-01-03 19:00:00
5069,147,10.32,2025-01-03 20:00:00
5070,180,436.63,2025-01-03 21:00:00
5071,854,398.37,2025-01-03 22:00:00
5072,220,317.39,2025-01-03 23:00:00
5073,985,377.63,2025-01-04 00:00:00
5074,1035,84.5,2025-01-04 01:00:00
5075,232,234.58,2025-01-04 02:00:00
5076,1032,182.1,2025-01-04 03:00:00
5077,413,55.95,2025-01-04 04:00:00
5078,88,248.2,2025-01-04 05:00:00
5079,576,461.16,2025-01-04 06:00:00
5080,937,29.63,2025-01-04 07:00:00
5081,546,152.82,2025-01-04 08:00:00
5082,565,111.7,2025-01-04 09:00:00
5083,398,126.69,2025-01-04 10:00:00
5084,1031,455.13,2025-01-04 11:00:00
5085,970,239.35,2025-01-04 12:00:00
5086,446,238.49,2025-01-04 13:00:00
5087,771,382.68,2025-01-04 14:00:00
5088,210,85.7,2025-01-04 15:00:00
5089,65,248.76,2025-01-04 16:00:00
5090,542,220.69,2025-01-04 17:00:00
5091,475,302.49,2025-01-04 18:00:00
5092,157,499.78,2025-01-04 19:00:00
5093,943,387.03,2025-01-04 20:00:00
5094,499,204.95,2025-01-04 21:00:00
5095,360,415.5,2025-01-04 22:00:00
5096,788,93.65,2025-01-04 23:00:00
5097,219,24.93,2025-01-05 00:00:00
5098,595,110.18,2025-01-05 01:00:00
5099,463,176.8,2025-01-05 02:00:00
5100,300,260.18,2025-01-05 03:00:00
5101,808,311.41,2025-01-05 04:00:00
5102,830,456.2,2025-01-05 05:00:00
5103,190,259.83,2025-01-05 06:00:00
5104,323,255.63,2025-01-05 07:00:00
5105,465,34.62,2025-01-05 08:00:00
5106,657,27.11,2025-01-05 09:00:00
5107,788,280.07,2025-01-05 10:00:00
5108,940,224.71,2025-01-05 11:00:00
5109,88,421.2,2025-01-05 12:00:00
5110,863,88.73,2025-01-05 13:00:00
5111,78,22.24,2025-01-05 14:00:00
5112,1007,230.03,2025-01-05 15:00:00
5113,526,126.36,2025-01-05 16:00:00
5114,367,34.31,2025-01-05 17:00:00
5115,294,365.05,2025-01-05 18:00:00
5116,797,64.68,2025-01-05 19:00:00
5117,746,308.08,2025-01-05 20:00:00
5118,321,147.71,2025-01-05 21:00:00
5119,489,95.01,2025-01-05 22:00:00
5120,797,196.08,2025-01-05 23:00:00
5121,288,402.71,2025-01-06 00:00:00
5122,426,202.13,2025-01-06 01:00:00
5123,315,377.88,2025-01-06 02:00:00
5124,975,71.49,2025-01-06 03:00:00
5125,970,388.66,2025-01-06 04:00:00
5126,408,126.1,2025-01-06 05:00:00
5127,389,341.92,2025-01-06 06:00:00
5128,438,287.23,2025-01-06 07:00:00
5129,626,465.28,2025-01-06 08:00:00
5130,1039,199.79,2025-01-06 09:00:00
5131,738,42.42,2025-01-06 10:00:00
5132,52,19.39,2025-01-06 11:00:00
5133,478,415.16,2025-01-06 12:00:00
5134,191,267.12,2025-01-06 13:00:00
5135,425,389.87,2025-01-06 14:00:00
5136,719,124.87,2025-01-06 15:00:00
5137,373,179.09,2025-01-06 16:00:00
5138,195,24.75,2025-01-06 17:00:00
5139,1007,481.13,2025-01-06 18:00:00
5140,342,337.26,2025-01-06 19:00:00
5141,714,467.27,2025-01-06 20:00:00
5142,481,140.09,2025-01-06 21:00:00
5143,754,309.62,2025-01-06 22:00:00
5144,998,342.46,2025-01-06 23:00:00
5145,1024,165.6,2025-01-07 00:00:00
5146,634,425.57,2025-01-07 01:00:00
5147,448,474.11,2025-01-07 02:00:00
5148,866,443.58,2025-01-07 03:00:00
5149,938,372.14,2025-01-07 04:00:00
5150,393,145.96,2025-01-07 05:00:00
5151,1013,147.99,2025-01-07 06:00:00
5152,189,482.05,2025-01-07 07:00:00
5153,236,15.04,2025-01-07 08:00:00
5154,854,360.86,2025-01-07 09:00:00
5155,110,356.06,2025-01-07 10:00:00
5156,1046,315.12,2025-01-07 11:00:00
5157,988,495.15,2025-01-07 12:00:00
5158,429,162.82,2025-01-07 13:00:00
5159,759,176.59,2025-01-07 14:00:00
5160,856,48.68,2025-01-07 15:00:00
5161,489,226.97,2025-01-07 16:00:00
5162,368,137.91,2025-01-07 17:00:00
5163,351,178.26,2025-01-07 18:00:00
5164,393,418.94,2025-01-07 19:00:00
5165,60,468.39,2025-01-07 20:00:00
5166,111,101.01,2025-01-07 21:00:00
5167,894,192.53,2025-01-07 22:00:00
5168,275,465.03,2025-01-07 23:00:00
5169,202,40.29,2025-01-08 00:00:00
5170,760,55.26,2025-01-08 01:00:00
5171,613,89.77,2025-01-08 02:00:00
5172,821,301.65,2025-01-08 03:00:00
5173,620,83.73,2025-01-08 04:00:00
5174,633,484.36,2025-01-08 05:00:00
5175,709,228.89,2025-01-08 06:00:00
5176,910,255.74,2025-01-08 07:00:00
5177,624,130.86,2025-01-08 08:00:00
5178,359,240.77,2025-01-08 09:00:00
5179,934,334.34,2025-01-08 10:00:00
5180,292,378.08,2025-01-08 11:00:00
5181,542,379.4,2025-01-08 12:00:00
5182,415,293.17,2025-01-08 13:00:00
5183,379,453.14,2025-01-08 14:00:00
