aggregation_date,metric_name,metric_value,row_count,updated_at
2026-08-13,total_revenue,11868.83,56,2026-08-13 18:28:34
2026-08-12,total_revenue,11484.69,56,2026-08-13 18:28:34
2026-08-11,total_revenue,10620.72,55,2026-08-13 18:28:34
2026-08-10,total_revenue,12428.71,56,2026-08-13 18:28:34
2026-08-09,total_revenue,11652.36,55,2026-08-13 18:28:34
2026-08-08,total_revenue,8907.5,56,2026-08-13 18:28:34
2026-08-07,total_revenue,11900.6,55,2026-08-13 18:28:34
2026-08-06,total_revenue,11214.87,56,2026-08-13 18:28:34
2026-08-05,total_revenue,10214.83,55,2026-08-13 18:28:34
2026-08-04,total_revenue,10269.1,56,2026-08-13 18:28:34
