signup_date,signups,email_verified,first_purchase,conversion_pct
2026-07-26,7,6,3,42.9
2026-07-25,12,10,9,75.0
2026-07-24,12,10,5,41.7
2026-07-23,12,10,4,33.3
2026-07-22,12,10,6,50.0
2026-07-21,12,7,5,41.7
2026-07-20,12,9,5,41.7
2026-07-19,12,5,2,16.7
2026-07-18,12,8,3,25.0
2026-07-17,12,10,7,58.3
2026-07-16,12,9,7,58.3
2026-07-15,12,7,5,41.7
2026-07-14,12,10,7,58.3
2026-07-13,12,8,7,58.3
2026-07-12,12,10,6,50.0
2026-07-11,12,8,5,41.7
2026-07-10,12,8,5,41.7
2026-07-09,12,10,3,25.0
2026-07-08,12,6,5,41.7
2026-07-07,12,11,8,66.7
2026-07-06,12,8,3,25.0
2026-07-05,12,8,5,41.7
2026-07-04,12,9,4,33.3
2026-07-03,12,5,5,41.7
2026-07-02,12,10,5,41.7
2026-07-01,12,11,6,50.0
2026-06-30,12,8,6,50.0
2026-06-29,12,8,4,33.3
2026-06-28,12,10,6,50.0
2026-06-27,12,11,7,58.3
2026-06-26,12,10,8,66.7
2026-06-25,12,11,6,50.0
2026-06-24,12,10,4,33.3
2026-06-23,12,10,5,41.7
2026-06-22,12,9,3,25.0
2026-06-21,12,9,4,33.3
2026-06-20,12,7,7,58.3
2026-06-19,12,10,5,41.7
2026-06-18,12,10,3,25.0
2026-06-17,12,9,4,33.3
2026-06-16,12,11,6,50.0
2026-06-15,12,10,7,58.3
2026-06-14,12,7,3,25.0
2026-06-13,12,11,8,66.7
2026-06-12,12,6,3,25.0
2026-06-11,12,8,4,33.3
2026-06-10,12,8,4,33.3
2026-06-09,12,12,6,50.0
2026-06-08,12,7,2,16.7
2026-06-07,12,7,6,50.0
2026-06-06,12,11,7,58.3
2026-06-05,12,6,2,16.7
2026-06-04,12,11,7,58.3
2026-06-03,12,8,5,41.7
2026-06-02,12,6,6,50.0
2026-06-01,12,10,5,41.7
2026-05-31,12,10,6,50.0
2026-05-30,12,10,7,58.3
2026-05-29,12,6,2,16.7
2026-05-28,12,9,6,50.0
2026-05-27,12,9,5,41.7
2026-05-26,12,11,6,50.0
2026-05-25,12,10,5,41.7
2026-05-24,12,8,3,25.0
2026-05-23,12,10,5,41.7
2026-05-22,12,11,7,58.3
2026-05-21,12,7,3,25.0
2026-05-20,1,0,0,0.0
