customer_type,month,unique_customers,transaction_count,monthly_revenue,avg_transaction
SMB,2026-08-01,52,57,17257.45,302.76
Startup,2026-08-01,33,36,8920.53,247.79
Enterprise,2026-08-01,21,22,8391.26,381.42
Startup,2026-07-01,87,121,38763.83,320.36
SMB,2026-07-01,81,100,33237.88,332.38
Enterprise,2026-07-01,37,44,11985.71,272.4
SMB,2026-06-01,90,108,36945.62,342.09
Startup,2026-06-01,92,119,35058.62,294.61
Enterprise,2026-06-01,31,39,10669.0,273.56
Startup,2026-05-01,81,105,33267.94,316.84
SMB,2026-05-01,93,112,33058.19,295.16
Enterprise,2026-05-01,41,54,16424.77,304.16
SMB,2026-04-01,83,108,33852.95,313.45
Startup,2026-04-01,77,95,27832.81,292.98
Enterprise,2026-04-01,41,52,13518.48,259.97
SMB,2026-03-01,95,120,37034.11,308.62
Startup,2026-03-01,81,100,30672.04,306.72
Enterprise,2026-03-01,34,44,14693.04,333.93
Startup,2026-02-01,78,98,27778.04,283.45
SMB,2026-02-01,83,104,26380.31,253.66
Enterprise,2026-02-01,32,37,11675.54,315.56
SMB,2026-01-01,87,123,38384.85,312.07
Startup,2026-01-01,78,103,30156.01,292.78
Enterprise,2026-01-01,38,45,18011.49,400.26
Startup,2025-12-01,80,105,31975.85,304.53
SMB,2025-12-01,83,111,29725.73,267.8
Enterprise,2025-12-01,41,56,16825.83,300.46
SMB,2025-11-01,86,106,31334.15,295.61
Startup,2025-11-01,83,101,31116.76,308.09
Enterprise,2025-11-01,38,49,17627.15,359.74
SMB,2025-10-01,85,110,38176.9,347.06
Startup,2025-10-01,92,119,36018.39,302.68
Enterprise,2025-10-01,36,45,15541.83,345.37
SMB,2025-09-01,75,102,37732.85,369.93
Startup,2025-09-01,98,117,33957.85,290.24
Enterprise,2025-09-01,36,48,14485.94,301.79
SMB,2025-08-01,59,67,23052.22,344.06
Startup,2025-08-01,52,62,22163.51,357.48
Enterprise,2025-08-01,24,27,5864.03,217.19
