customer_id,customer_type,order_count,total_spent
1899,Enterprise,10,3011.93
1822,Enterprise,14,2898.18
1700,SMB,10,2599.94
1575,Startup,8,2533.23
1345,SMB,9,2522.71
1602,SMB,10,2475.68
1313,Enterprise,8,2470.02
1726,Startup,14,2464.82
1237,SMB,8,2439.36
1828,SMB,10,2434.23
1227,Startup,10,2433.95
1073,Enterprise,13,2408.22
1687,SMB,10,2382.46
1853,SMB,6,2286.12
1781,Startup,12,2260.76
1650,SMB,10,2256.2
1481,Startup,8,2250.43
1109,SMB,10,2189.85
1571,SMB,14,2101.2
1303,SMB,10,2096.4
1401,Enterprise,10,2074.9
1384,Startup,8,2072.71
1758,SMB,8,2062.71
1277,Startup,9,2036.24
1188,SMB,11,2029.48
1549,SMB,8,2028.01
1733,Startup,7,2023.53
1761,SMB,7,1985.09
1471,Enterprise,12,1971.99
1124,Enterprise,10,1932.06
1814,Startup,6,1927.49
1825,SMB,12,1920.2
1551,SMB,6,1904.78
1331,SMB,7,1898.59
1881,SMB,10,1895.9
1105,Startup,5,1883.06
1740,SMB,7,1880.16
1455,Enterprise,9,1877.09
1141,Startup,10,1867.18
1170,SMB,7,1861.92
1445,Startup,9,1847.53
1833,Enterprise,12,1830.24
1084,Enterprise,12,1826.56
1308,SMB,6,1826.01
1400,Startup,6,1819.47
1022,Enterprise,10,1795.46
1327,SMB,7,1794.36
1499,Startup,9,1792.49
1584,SMB,10,1786.74
1693,SMB,11,1778.63
1698,SMB,7,1773.83
1183,Startup,10,1773.17
1235,SMB,8,1769.91
1262,Startup,7,1765.61
1360,SMB,8,1763.98
1449,SMB,8,1761.41
1129,Enterprise,10,1758.54
1645,Enterprise,7,1746.72
1314,Startup,10,1743.88
1040,SMB,9,1742.88
1675,SMB,9,1740.39
1887,Startup,8,1737.13
1662,Startup,10,1733.29
1364,SMB,11,1732.38
1397,Startup,7,1725.8
1483,SMB,9,1721.05
1753,Startup,10,1720.96
1399,Startup,10,1717.54
1776,Enterprise,12,1711.02
1563,Enterprise,7,1703.97
1190,SMB,6,1701.16
1420,Startup,9,1698.52
1211,SMB,8,1697.47
1093,Startup,8,1680.2
1284,Enterprise,5,1670.21
1039,Startup,10,1654.36
1250,Startup,7,1649.4
1533,Startup,8,1649.4
1038,Enterprise,5,1648.43
1390,Startup,10,1648.42
1576,Startup,4,1648.26
1638,SMB,8,1647.31
1900,Enterprise,6,1641.99
1083,SMB,6,1631.51
1892,Startup,6,1629.29
1888,SMB,10,1620.06
1305,Startup,6,1611.55
1065,SMB,9,1609.42
1233,SMB,7,1608.19
1113,Startup,9,1602.39
1012,Startup,11,1598.81
1102,Startup,9,1588.43
1352,Startup,5,1583.92
1573,SMB,12,1579.01
1670,SMB,11,1575.43
1540,Enterprise,10,1571.92
1537,Startup,10,1571.78
1147,Startup,8,1570.6
1817,SMB,9,1555.75
1019,SMB,10,1549.74
1494,SMB,11,1549.18
1725,SMB,8,1543.4
1318,SMB,10,1542.89
1744,SMB,6,1542.45
1260,Enterprise,9,1533.71
1395,SMB,8,1528.9
1154,SMB,11,1527.34
1192,Startup,8,1526.93
1156,SMB,11,1517.4
1419,Startup,9,1514.19
1302,SMB,10,1504.37
1092,Startup,6,1503.32
1544,Startup,7,1503.02
1703,SMB,5,1499.03
1459,Enterprise,8,1496.87
1414,SMB,11,1493.02
1802,SMB,8,1491.14
1161,SMB,9,1490.3
1864,SMB,5,1489.46
1166,Startup,9,1486.13
1613,Startup,6,1483.94
1457,Enterprise,5,1481.86
1387,SMB,9,1481.28
1596,SMB,8,1481.13
1162,Startup,8,1480.34
1465,Startup,6,1480.31
1783,SMB,10,1478.36
1407,SMB,8,1477.7
1336,Enterprise,8,1473.86
1835,SMB,7,1468.14
1177,Startup,5,1464.89
1804,Startup,7,1461.32
1704,Enterprise,9,1457.02
1477,Enterprise,7,1453.71
1450,Enterprise,10,1452.3
1338,Startup,8,1451.49
1654,Startup,6,1443.44
1433,Startup,4,1441.22
1689,Startup,6,1439.57
1561,Startup,8,1438.76
1620,Startup,8,1438.02
1453,SMB,6,1431.87
1218,Startup,9,1420.79
1850,SMB,7,1405.04
1648,Startup,8,1404.57
1757,Startup,6,1400.96
1866,SMB,8,1400.48
1139,SMB,7,1400.46
1883,Enterprise,7,1396.04
1480,SMB,7,1391.17
1443,SMB,8,1390.43
1497,SMB,7,1382.4
1208,Startup,6,1381.37
1840,Startup,8,1380.59
1242,Startup,9,1379.04
1021,Startup,6,1377.25
1873,Startup,5,1375.87
1517,SMB,10,1374.8
1059,Enterprise,10,1372.73
1519,Startup,6,1371.65
1585,Startup,4,1363.2
1856,SMB,8,1360.74
1066,SMB,6,1360.2
1003,Startup,7,1354.55
1128,Startup,7,1354.28
1816,SMB,3,1346.79
1304,Startup,7,1342.46
1482,Startup,5,1332.16
1844,Startup,5,1331.81
1356,Startup,6,1330.63
1520,SMB,9,1327.11
1375,Enterprise,9,1324.83
1075,Startup,8,1316.8
1013,Startup,10,1313.48
1353,Startup,6,1312.87
1566,SMB,5,1310.55
1580,SMB,7,1305.55
1884,Enterprise,6,1304.1
1567,SMB,7,1299.32
1317,SMB,5,1297.32
1827,SMB,4,1290.63
1588,Enterprise,8,1290.27
1111,SMB,9,1287.55
1629,Enterprise,8,1286.93
1149,Enterprise,8,1285.21
1288,SMB,8,1282.3
1893,Startup,6,1281.91
1068,Startup,6,1280.61
1699,SMB,6,1280.14
1268,Startup,9,1275.41
1871,SMB,6,1273.48
1060,SMB,6,1270.93
1794,Startup,9,1270.85
1589,Enterprise,6,1269.61
1890,SMB,7,1268.0
1320,SMB,5,1266.65
1391,Startup,6,1253.94
1581,SMB,5,1250.91
1049,SMB,8,1250.62
1625,Startup,5,1248.43
1173,SMB,6,1248.02
1668,SMB,5,1244.21
1830,SMB,6,1243.35
1661,SMB,11,1238.71
1727,Enterprise,7,1237.73
1436,Startup,7,1232.55
1574,Startup,8,1230.04
1363,SMB,7,1228.61
1734,SMB,7,1227.29
1633,SMB,6,1226.58
1778,Startup,6,1219.07
1434,Enterprise,6,1216.93
1852,Startup,8,1216.43
1207,Enterprise,9,1207.52
1685,Startup,8,1207.19
1230,Startup,4,1206.69
1787,SMB,6,1206.49
1226,SMB,8,1201.96
1220,Startup,8,1199.9
1529,Enterprise,6,1196.0
1606,SMB,8,1195.8
1651,Enterprise,6,1193.39
1383,Startup,6,1191.4
1202,Enterprise,6,1189.32
1283,SMB,9,1187.6
1673,Enterprise,5,1185.13
1681,Startup,8,1184.82
1112,SMB,7,1182.89
1646,Startup,5,1181.75
1485,SMB,10,1181.61
1876,SMB,6,1180.62
1659,Startup,9,1179.49
1611,Enterprise,5,1175.33
1490,Startup,9,1172.85
1688,SMB,9,1172.23
1182,Enterprise,5,1171.79
1837,Startup,8,1170.09
1421,Startup,6,1168.95
1728,Startup,7,1167.73
1550,Startup,7,1167.49
1301,Enterprise,8,1167.15
1270,SMB,6,1166.03
1500,Startup,8,1165.08
1735,SMB,4,1155.57
1682,SMB,3,1153.88
1895,Startup,6,1152.51
1273,Startup,10,1151.3
1256,SMB,5,1148.57
1632,Startup,6,1146.26
1069,Enterprise,5,1145.84
1558,Enterprise,8,1144.24
1366,SMB,8,1136.62
1721,Startup,7,1135.34
1349,SMB,7,1133.4
1755,Enterprise,4,1132.68
1832,SMB,8,1129.68
1780,Startup,5,1127.23
1800,Startup,8,1125.35
1743,Startup,4,1124.64
1380,SMB,7,1120.66
1532,Startup,6,1119.17
1690,SMB,7,1117.71
1601,SMB,5,1117.07
1492,Startup,6,1114.93
1642,SMB,4,1111.92
1082,Startup,7,1108.81
1206,Enterprise,8,1108.6
1224,SMB,5,1107.59
1329,SMB,5,1107.54
1674,SMB,6,1107.2
1665,Enterprise,7,1103.04
1848,Startup,5,1101.7
1378,Enterprise,8,1101.52
1041,Enterprise,7,1100.8
1559,Startup,9,1100.1
1435,Enterprise,5,1096.43
1489,Startup,8,1094.66
1460,Enterprise,6,1088.77
1201,Startup,7,1084.58
1790,Startup,6,1083.08
1428,Startup,7,1077.36
1276,SMB,8,1073.59
1245,Enterprise,6,1073.21
1737,SMB,5,1069.15
1426,SMB,7,1067.49
1293,Startup,7,1064.38
1446,Startup,6,1058.49
1195,SMB,6,1057.72
1849,SMB,9,1057.56
1872,SMB,7,1057.23
1130,SMB,6,1056.68
1612,Startup,6,1055.19
1891,Startup,11,1054.55
1178,SMB,5,1054.24
1370,Enterprise,5,1053.82
1535,Startup,3,1051.16
1160,Startup,6,1049.1
1635,Enterprise,4,1047.41
1768,Startup,8,1041.54
1140,Startup,6,1037.85
1686,SMB,7,1032.19
1593,SMB,5,1031.17
1658,SMB,8,1029.36
1010,Startup,8,1028.84
1263,Enterprise,4,1025.81
1164,SMB,8,1024.68
1163,Startup,7,1021.47
1120,SMB,6,1018.43
1030,Enterprise,4,1017.78
1605,Enterprise,7,1015.43
1821,Startup,4,1014.94
1528,SMB,6,1012.86
1785,SMB,7,1012.43
1657,SMB,6,1012.12
1664,SMB,8,1009.56
1016,SMB,4,1009.24
1447,Startup,4,1008.77
1335,Enterprise,7,1007.33
1215,Startup,4,1003.71
1628,Startup,10,1002.53
1118,SMB,8,1001.21
1807,Startup,7,1000.26
1191,Enterprise,7,998.84
1425,Enterprise,8,997.27
1488,SMB,6,994.87
1046,Startup,3,994.62
1860,Enterprise,4,993.24
1096,SMB,4,991.04
1357,Enterprise,4,989.9
1017,SMB,8,988.76
1087,Startup,7,984.86
1376,SMB,7,984.36
1001,SMB,7,984.01
1155,Startup,5,982.6
1751,Enterprise,7,982.07
1554,SMB,7,981.85
1251,SMB,7,981.54
1770,Startup,8,977.11
1779,Startup,6,977.06
1295,Enterprise,7,974.19
1764,Startup,5,972.03
1493,SMB,6,971.28
1666,SMB,6,970.71
1660,SMB,8,967.3
1669,SMB,6,966.39
1498,Enterprise,3,965.15
1214,SMB,6,964.31
1676,Startup,8,963.32
1643,SMB,4,962.31
1451,Startup,7,962.24
1382,Startup,8,958.71
1116,Startup,5,958.42
1365,Startup,5,957.25
1058,SMB,5,951.79
1203,SMB,5,951.07
1326,Startup,5,949.82
1412,Startup,8,946.85
1343,SMB,8,945.94
1504,Startup,7,945.74
1025,SMB,6,945.34
1044,Startup,7,945.02
1193,Startup,6,944.33
1099,Enterprise,5,943.5
1232,SMB,5,940.94
1619,Startup,9,940.54
1631,Startup,7,939.09
1424,SMB,6,938.63
1880,SMB,4,937.11
1598,SMB,9,932.38
1672,Startup,9,931.07
1851,Enterprise,6,930.69
1523,Startup,5,930.28
1108,Startup,6,929.75
1342,SMB,5,928.17
1622,SMB,6,925.35
1367,Startup,7,922.54
1072,SMB,6,921.75
1536,Startup,7,919.44
1720,Startup,7,919.05
1441,Enterprise,5,918.43
1255,SMB,3,907.94
1557,Enterprise,6,907.48
1542,Startup,7,901.65
1341,SMB,6,896.97
1836,SMB,5,896.9
1354,SMB,8,894.04
1815,Startup,6,888.11
1608,SMB,7,885.13
1216,SMB,7,884.66
1564,Enterprise,7,883.8
1739,SMB,6,883.5
1047,SMB,6,883.32
1474,Startup,5,882.12
1439,Startup,6,879.85
1194,Startup,6,878.95
1344,SMB,7,877.49
1278,Startup,6,876.92
1560,Startup,8,875.88
1427,SMB,6,875.11
1247,SMB,9,874.84
1258,Startup,4,873.2
1867,SMB,5,871.62
1855,SMB,5,871.39
1104,SMB,10,871.27
1649,Startup,5,869.81
1516,Enterprise,7,869.46
1091,Enterprise,4,868.95
1594,SMB,7,868.5
1007,Enterprise,7,867.32
1074,Startup,4,865.51
1547,Enterprise,5,862.0
1324,SMB,7,860.14
1511,Startup,7,859.25
1143,SMB,7,856.3
1101,Enterprise,7,855.0
1694,SMB,6,852.68
1731,SMB,7,851.73
1507,Startup,5,850.73
1508,Startup,5,848.72
1271,Startup,6,848.37
1361,SMB,6,846.3
1525,Startup,6,842.57
1572,Startup,4,840.38
1417,SMB,4,838.77
1553,SMB,7,837.78
1624,SMB,4,836.12
1089,Startup,6,833.88
1701,SMB,6,833.43
1031,Startup,5,831.78
1159,SMB,6,830.7
1691,SMB,6,829.95
1789,SMB,6,826.94
1736,Startup,7,825.91
1452,SMB,7,825.32
1603,SMB,4,823.77
1398,SMB,3,823.34
1877,Startup,7,823.03
1616,Startup,4,822.09
1678,SMB,6,819.63
1062,SMB,5,818.52
1509,Startup,8,816.48
1610,Startup,6,813.11
1797,Startup,7,812.46
1630,SMB,8,812.01
1501,Startup,4,811.85
1505,Startup,8,811.59
1222,SMB,5,810.49
1153,Enterprise,5,805.02
1077,Startup,3,804.48
1626,SMB,5,802.9
1456,SMB,6,802.46
1050,SMB,6,801.55
1570,SMB,7,798.21
1137,SMB,8,796.19
1011,Enterprise,4,795.49
1267,Startup,5,794.74
1752,Startup,4,794.52
1172,Enterprise,4,794.32
1279,Startup,6,792.67
1793,SMB,6,792.61
1614,Enterprise,6,792.47
1468,Startup,3,791.72
1115,Startup,4,785.94
1127,Startup,8,785.18
1476,Startup,5,783.04
1289,SMB,7,782.42
1272,Startup,5,781.55
1857,Enterprise,6,778.85
1711,Startup,3,778.12
1683,SMB,5,777.74
1286,Enterprise,4,776.7
1541,Startup,6,776.68
1332,Startup,6,775.87
1266,Startup,6,775.26
1762,SMB,4,774.55
1438,Startup,7,774.45
1579,SMB,5,773.95
1718,Startup,4,772.43
1897,SMB,6,768.42
1056,Startup,4,766.72
1388,SMB,4,765.64
1107,SMB,4,763.98
1048,SMB,4,761.88
1615,Startup,6,760.88
1716,Startup,6,757.69
1430,Enterprise,4,756.98
1309,Startup,4,756.92
1205,Startup,5,754.51
1337,Startup,6,753.54
1198,Startup,5,753.37
1311,SMB,8,751.69
1379,Startup,4,751.55
1290,SMB,5,750.21
1362,Startup,6,748.47
1020,SMB,7,745.67
1223,Enterprise,9,744.77
1196,SMB,6,744.06
1708,Startup,6,744.01
1514,Startup,7,739.66
1479,Startup,3,738.46
1454,Startup,6,736.43
1325,Startup,5,736.12
1859,SMB,8,734.53
1287,SMB,7,734.36
1122,Startup,7,733.36
1819,Enterprise,5,733.35
1114,Startup,6,728.79
1868,SMB,4,726.59
1374,Startup,3,725.69
1043,Enterprise,7,725.58
1886,SMB,6,725.03
1404,Startup,6,724.49
1792,SMB,5,721.1
1463,Startup,6,717.72
1057,Enterprise,4,717.6
1265,Startup,6,714.78
1858,SMB,5,713.19
1729,SMB,5,712.64
1582,Startup,6,711.57
1702,Enterprise,6,710.01
1746,Startup,4,709.87
1152,SMB,4,707.83
1772,Startup,7,706.98
1328,Startup,4,704.31
1730,SMB,3,698.44
