customer_type,month,order_count,monthly_revenue,avg_order_value,unique_customers,revenue_per_customer
Startup,2026-08-01,48,12631.34,263.15,42,300.75
SMB,2026-08-01,34,6598.76,194.08,31,212.86
Enterprise,2026-08-01,20,6058.85,302.94,17,356.4
SMB,2026-07-01,112,30299.18,270.53,84,360.7
Startup,2026-07-01,99,28925.71,292.18,79,366.15
Enterprise,2026-07-01,38,8086.85,212.81,34,237.85
SMB,2026-06-01,102,24896.48,244.08,77,323.33
Startup,2026-06-01,97,23030.8,237.43,76,303.04
Enterprise,2026-06-01,44,11043.37,250.99,37,298.47
SMB,2026-05-01,111,30081.42,271.0,81,371.38
Startup,2026-05-01,92,24998.64,271.72,67,373.11
Enterprise,2026-05-01,46,14093.99,306.39,33,427.09
Startup,2026-04-01,105,26260.15,250.1,84,312.62
SMB,2026-04-01,87,23979.31,275.62,70,342.56
Enterprise,2026-04-01,50,11318.56,226.37,39,290.22
SMB,2026-03-01,110,27116.64,246.51,86,315.31
Startup,2026-03-01,100,26105.82,261.06,82,318.36
Enterprise,2026-03-01,41,9324.48,227.43,35,266.41
Startup,2026-02-01,98,29036.87,296.29,79,367.56
SMB,2026-02-01,87,26619.71,305.97,73,364.65
Enterprise,2026-02-01,42,11398.34,271.39,34,335.25
Startup,2026-01-01,106,28353.84,267.49,91,311.58
SMB,2026-01-01,100,24997.53,249.98,74,337.8
Enterprise,2026-01-01,44,13483.4,306.44,36,374.54
SMB,2025-12-01,107,30336.35,283.52,85,356.9
Startup,2025-12-01,93,24552.76,264.01,69,355.84
Enterprise,2025-12-01,48,11538.26,240.38,36,320.51
SMB,2025-11-01,109,31398.66,288.06,90,348.87
Startup,2025-11-01,92,28003.63,304.39,76,368.47
Enterprise,2025-11-01,41,12253.73,298.87,32,382.93
SMB,2025-10-01,110,29104.59,264.59,85,342.41
Startup,2025-10-01,91,24238.24,266.35,68,356.44
Enterprise,2025-10-01,45,17158.88,381.31,37,463.75
SMB,2025-09-01,100,29971.66,299.72,79,379.39
Startup,2025-09-01,95,23757.27,250.08,77,308.54
Enterprise,2025-09-01,48,9140.54,190.43,38,240.54
SMB,2025-08-01,60,19874.14,331.24,52,382.19
Startup,2025-08-01,60,14083.27,234.72,55,256.06
Enterprise,2025-08-01,25,6475.51,259.02,21,308.36
