customer_id,customer_type,signup_date
1034,Startup,2024-01-12
1346,Startup,2024-04-25
1545,Startup,2024-06-30
1706,Startup,2024-08-23
1901,SMB,2024-10-27
1902,Enterprise,2024-10-27
1903,SMB,2024-10-27
1904,SMB,2024-10-28
1905,SMB,2024-10-28
1906,Startup,2024-10-28
1907,Startup,2024-10-29
1908,SMB,2024-10-29
1909,SMB,2024-10-29
1910,SMB,2024-10-30
1911,SMB,2024-10-30
1912,SMB,2024-10-30
1913,Startup,2024-10-31
1914,SMB,2024-10-31
1915,SMB,2024-10-31
1916,SMB,2024-11-01
1917,SMB,2024-11-01
1918,Startup,2024-11-01
1919,Startup,2024-11-02
1920,Enterprise,2024-11-02
1921,Startup,2024-11-02
1922,SMB,2024-11-03
1923,Startup,2024-11-03
1924,Startup,2024-11-03
1925,SMB,2024-11-04
1926,Enterprise,2024-11-04
1927,SMB,2024-11-04
1928,SMB,2024-11-05
1929,Startup,2024-11-05
1930,SMB,2024-11-05
1931,Enterprise,2024-11-06
1932,Startup,2024-11-06
1933,Startup,2024-11-06
1934,SMB,2024-11-07
1935,SMB,2024-11-07
1936,SMB,2024-11-07
1937,Enterprise,2024-11-08
1938,Startup,2024-11-08
1939,Enterprise,2024-11-08
1940,SMB,2024-11-09
1941,SMB,2024-11-09
1942,SMB,2024-11-09
1943,Startup,2024-11-10
1944,Startup,2024-11-10
1945,SMB,2024-11-10
1946,Enterprise,2024-11-11
1947,Enterprise,2024-11-11
1948,Startup,2024-11-11
1949,Startup,2024-11-12
1950,SMB,2024-11-12
1951,Startup,2024-11-12
1952,Startup,2024-11-13
1953,SMB,2024-11-13
1954,Startup,2024-11-13
1955,SMB,2024-11-14
1956,SMB,2024-11-14
1957,SMB,2024-11-14
1958,Enterprise,2024-11-15
1959,SMB,2024-11-15
1960,Startup,2024-11-15
1961,Enterprise,2024-11-16
1962,Startup,2024-11-16
1963,SMB,2024-11-16
1964,SMB,2024-11-17
1965,SMB,2024-11-17
1966,SMB,2024-11-17
1967,Startup,2024-11-18
1968,SMB,2024-11-18
1969,SMB,2024-11-18
1970,SMB,2024-11-19
1971,Startup,2024-11-19
1972,Startup,2024-11-19
1973,Startup,2024-11-20
1974,SMB,2024-11-20
1975,Enterprise,2024-11-20
1976,SMB,2024-11-21
1977,SMB,2024-11-21
1978,Enterprise,2024-11-21
1979,SMB,2024-11-22
1980,SMB,2024-11-22
1981,SMB,2024-11-22
1982,Startup,2024-11-23
1983,Enterprise,2024-11-23
1984,Enterprise,2024-11-23
1985,Startup,2024-11-24
1986,SMB,2024-11-24
1987,Startup,2024-11-24
1988,SMB,2024-11-25
1989,SMB,2024-11-25
1990,Startup,2024-11-25
1991,Startup,2024-11-26
1992,Startup,2024-11-26
1993,SMB,2024-11-26
1994,SMB,2024-11-27
1995,SMB,2024-11-27
1996,Enterprise,2024-11-27
1997,Startup,2024-11-28
1998,Enterprise,2024-11-28
1999,Startup,2024-11-28
2000,SMB,2024-11-29
