order_id,customer_id,order_amount,order_date
5008,1040,365.25,2025-01-01 07:00:00
5014,1025,273.63,2025-01-01 13:00:00
5035,1030,288.19,2025-01-02 10:00:00
5053,1039,289.92,2025-01-03 04:00:00
5056,1044,400.89,2025-01-03 07:00:00
5065,1044,116.92,2025-01-03 16:00:00
5074,1035,84.5,2025-01-04 01:00:00
5076,1032,182.1,2025-01-04 03:00:00
5084,1031,455.13,2025-01-04 11:00:00
5112,1007,230.03,2025-01-05 15:00:00
5130,1039,199.79,2025-01-06 09:00:00
5139,1007,481.13,2025-01-06 18:00:00
5145,1024,165.6,2025-01-07 00:00:00
5151,1013,147.99,2025-01-07 06:00:00
5156,1046,315.12,2025-01-07 11:00:00
5217,1047,332.74,2025-01-10 00:00:00
5229,1001,292.66,2025-01-10 12:00:00
5232,1037,490.48,2025-01-10 15:00:00
5246,1004,491.95,2025-01-11 05:00:00
5248,1033,485.16,2025-01-11 07:00:00
5250,1024,180.28,2025-01-11 09:00:00
5262,1022,243.9,2025-01-11 21:00:00
5264,1014,187.65,2025-01-11 23:00:00
5265,1022,404.8,2025-01-12 00:00:00
5281,1022,467.54,2025-01-12 16:00:00
5327,1038,444.23,2025-01-14 14:00:00
5330,1011,321.35,2025-01-14 17:00:00
5353,1043,29.24,2025-01-15 16:00:00
5360,1038,179.44,2025-01-15 23:00:00
5404,1032,202.52,2025-01-17 19:00:00
5411,1026,298.29,2025-01-18 02:00:00
5425,1023,119.92,2025-01-18 16:00:00
5436,1038,35.13,2025-01-19 03:00:00
5439,1025,173.86,2025-01-19 06:00:00
5441,1004,269.67,2025-01-19 08:00:00
5445,1002,382.48,2025-01-19 12:00:00
5455,1006,351.61,2025-01-19 22:00:00
5469,1034,204.53,2025-01-20 12:00:00
5481,1009,333.12,2025-01-21 00:00:00
5503,1005,154.09,2025-01-21 22:00:00
5518,1039,291.93,2025-01-22 13:00:00
5559,1022,459.46,2025-01-24 06:00:00
5574,1043,116.77,2025-01-24 21:00:00
5580,1020,168.53,2025-01-25 03:00:00
5582,1012,282.72,2025-01-25 05:00:00
5620,1020,408.11,2025-01-26 19:00:00
5621,1027,170.2,2025-01-26 20:00:00
5644,1015,106.16,2025-01-27 19:00:00
5661,1008,347.76,2025-01-28 12:00:00
5670,1003,324.07,2025-01-28 21:00:00
5671,1006,238.43,2025-01-28 22:00:00
5680,1005,385.6,2025-01-29 07:00:00
5738,1034,155.2,2025-01-31 17:00:00
5754,1001,471.03,2025-02-01 09:00:00
5766,1019,245.83,2025-02-01 21:00:00
5777,1021,196.67,2025-02-02 08:00:00
5782,1029,116.0,2025-02-02 13:00:00
5788,1046,183.02,2025-02-02 19:00:00
5802,1006,100.57,2025-02-03 09:00:00
5807,1018,121.12,2025-02-03 14:00:00
5833,1043,100.79,2025-02-04 16:00:00
5875,1019,242.79,2025-02-06 10:00:00
5878,1027,147.49,2025-02-06 13:00:00
5886,1036,205.67,2025-02-06 21:00:00
5890,1013,401.59,2025-02-07 01:00:00
5895,1025,417.98,2025-02-07 06:00:00
5902,1007,278.81,2025-02-07 13:00:00
5904,1011,264.61,2025-02-07 15:00:00
5906,1015,76.26,2025-02-07 17:00:00
5919,1020,215.01,2025-02-08 06:00:00
5932,1050,286.31,2025-02-08 19:00:00
5960,1035,449.32,2025-02-09 23:00:00
5963,1017,432.22,2025-02-10 02:00:00
5965,1023,446.42,2025-02-10 04:00:00
5967,1011,406.98,2025-02-10 06:00:00
5984,1043,263.86,2025-02-10 23:00:00
5987,1024,206.15,2025-02-11 02:00:00
6021,1013,488.51,2025-02-12 12:00:00
6052,1008,194.57,2025-02-13 19:00:00
6058,1001,165.3,2025-02-14 01:00:00
6084,1033,163.33,2025-02-15 03:00:00
6108,1019,357.6,2025-02-16 03:00:00
6109,1042,61.65,2025-02-16 04:00:00
6121,1026,342.79,2025-02-16 16:00:00
6127,1037,390.0,2025-02-16 22:00:00
6132,1018,488.13,2025-02-17 03:00:00
6153,1048,215.3,2025-02-18 00:00:00
6177,1048,220.96,2025-02-19 00:00:00
6183,1005,362.17,2025-02-19 06:00:00
6234,1029,477.17,2025-02-21 09:00:00
6245,1029,455.62,2025-02-21 20:00:00
6254,1015,428.43,2025-02-22 05:00:00
6256,1027,260.77,2025-02-22 07:00:00
6277,1036,278.05,2025-02-23 04:00:00
6279,1018,194.91,2025-02-23 06:00:00
6329,1027,178.04,2025-02-25 08:00:00
6333,1011,164.89,2025-02-25 12:00:00
6358,1043,459.08,2025-02-26 13:00:00
6359,1013,170.64,2025-02-26 14:00:00
6364,1005,371.58,2025-02-26 19:00:00
6375,1038,481.16,2025-02-27 06:00:00
6402,1032,377.19,2025-02-28 09:00:00
6443,1031,202.88,2025-03-02 02:00:00
6468,1035,268.52,2025-03-03 03:00:00
6474,1046,270.91,2025-03-03 09:00:00
6479,1044,312.43,2025-03-03 14:00:00
6524,1005,62.02,2025-03-05 11:00:00
6532,1004,68.41,2025-03-05 19:00:00
6538,1005,224.57,2025-03-06 01:00:00
6589,1041,327.85,2025-03-08 04:00:00
6599,1011,100.18,2025-03-08 14:00:00
6602,1012,120.64,2025-03-08 17:00:00
6640,1018,41.26,2025-03-10 07:00:00
6646,1034,361.66,2025-03-10 13:00:00
6650,1029,222.92,2025-03-10 17:00:00
6659,1044,227.84,2025-03-11 02:00:00
6766,1023,499.41,2025-03-15 13:00:00
6795,1049,150.88,2025-03-16 18:00:00
6841,1047,203.29,2025-03-18 16:00:00
6863,1020,104.21,2025-03-19 14:00:00
6874,1036,53.4,2025-03-20 01:00:00
6892,1022,71.57,2025-03-20 19:00:00
6912,1029,186.24,2025-03-21 15:00:00
6941,1034,288.96,2025-03-22 20:00:00
6961,1040,65.84,2025-03-23 16:00:00
6981,1036,268.81,2025-03-24 12:00:00
6986,1027,415.81,2025-03-24 17:00:00
7012,1033,487.48,2025-03-25 19:00:00
7037,1003,186.43,2025-03-26 20:00:00
7045,1015,71.37,2025-03-27 04:00:00
7070,1005,177.77,2025-03-28 05:00:00
7078,1009,37.93,2025-03-28 13:00:00
7100,1050,430.71,2025-03-29 11:00:00
7112,1017,376.29,2025-03-29 23:00:00
7176,1039,273.27,2025-04-01 15:00:00
7177,1015,341.79,2025-04-01 16:00:00
7238,1031,399.6,2025-04-04 05:00:00
7243,1035,156.72,2025-04-04 10:00:00
7250,1030,490.88,2025-04-04 17:00:00
7260,1002,294.58,2025-04-05 03:00:00
7290,1017,370.66,2025-04-06 09:00:00
7310,1045,124.18,2025-04-07 05:00:00
7361,1029,149.85,2025-04-09 08:00:00
7393,1050,81.84,2025-04-10 16:00:00
7394,1004,88.24,2025-04-10 17:00:00
7400,1037,190.68,2025-04-10 23:00:00
7431,1012,336.31,2025-04-12 06:00:00
7439,1026,256.58,2025-04-12 14:00:00
7482,1033,434.63,2025-04-14 09:00:00
7521,1047,280.34,2025-04-16 00:00:00
7574,1006,380.59,2025-04-18 05:00:00
7583,1037,238.52,2025-04-18 14:00:00
7599,1011,374.24,2025-04-19 06:00:00
7601,1039,76.67,2025-04-19 08:00:00
7621,1008,106.87,2025-04-20 04:00:00
7628,1022,403.32,2025-04-20 11:00:00
7659,1024,85.17,2025-04-21 18:00:00
7660,1035,189.61,2025-04-21 19:00:00
7683,1047,460.7,2025-04-22 18:00:00
7726,1037,359.67,2025-04-24 13:00:00
7765,1036,277.42,2025-04-26 04:00:00
7832,1008,286.83,2025-04-28 23:00:00
7840,1045,171.47,2025-04-29 07:00:00
7854,1048,182.59,2025-04-29 21:00:00
7880,1026,66.22,2025-04-30 23:00:00
7903,1007,139.96,2025-05-01 22:00:00
7916,1023,484.78,2025-05-02 11:00:00
7964,1025,113.78,2025-05-04 11:00:00
8011,1023,199.37,2025-05-06 10:00:00
8015,1040,48.47,2025-05-06 14:00:00
8023,1022,442.04,2025-05-06 22:00:00
8025,1041,372.39,2025-05-07 00:00:00
8056,1023,27.81,2025-05-08 07:00:00
8113,1023,179.36,2025-05-10 16:00:00
8125,1040,433.56,2025-05-11 04:00:00
8166,1021,219.56,2025-05-12 21:00:00
8176,1036,178.85,2025-05-13 07:00:00
8200,1028,290.43,2025-05-14 07:00:00
8217,1023,220.62,2025-05-15 00:00:00
8223,1050,183.96,2025-05-15 06:00:00
8237,1001,239.02,2025-05-15 20:00:00
8238,1031,149.93,2025-05-15 21:00:00
8239,1042,481.19,2025-05-15 22:00:00
8284,1031,91.81,2025-05-17 19:00:00
8317,1021,429.4,2025-05-19 04:00:00
8330,1041,185.53,2025-05-19 17:00:00
8336,1003,197.95,2025-05-19 23:00:00
8347,1022,138.63,2025-05-20 10:00:00
8357,1032,153.01,2025-05-20 20:00:00
8387,1029,287.5,2025-05-22 02:00:00
8416,1020,212.54,2025-05-23 07:00:00
8467,1039,305.86,2025-05-25 10:00:00
8503,1032,472.22,2025-05-26 22:00:00
