customer_id,annual_revenue,transaction_count
1302,6728.63,12
1059,5939.03,12
1361,5686.84,10
1130,5486.77,8
1173,5477.04,9
1305,5346.94,8
1124,5261.01,9
1154,5205.27,12
1163,5141.24,9
1500,5081.52,10
1192,4864.15,10
1216,4788.69,10
1065,4675.46,8
1012,4615.61,12
1476,4521.94,9
1102,4511.44,11
1136,4372.35,9
1086,4337.56,10
1107,4328.46,7
1188,4320.86,11
1431,4186.74,9
1443,4153.38,8
1161,4141.82,11
1049,4063.64,11
1354,4054.51,11
1288,4013.11,10
1084,3960.51,13
1007,3958.54,9
1092,3914.7,9
1387,3909.92,11
1313,3888.11,9
1307,3750.64,7
1183,3749.08,10
1301,3710.86,11
1050,3690.28,8
1459,3603.0,12
1118,3559.38,9
1158,3547.87,9
1310,3538.73,11
1264,3527.32,12
1038,3477.35,5
1233,3467.92,9
1108,3462.87,10
1425,3458.55,12
1262,3454.54,10
1295,3422.29,8
1226,3412.93,10
1148,3409.91,7
1072,3384.3,10
1020,3360.16,8
1381,3320.01,10
1021,3316.42,12
1039,3302.05,9
1062,3294.82,6
1441,3290.43,6
1142,3279.51,7
1023,3276.5,5
1375,3275.44,10
1303,3259.41,11
1377,3224.5,7
1325,3213.8,10
1228,3204.17,9
1349,3197.35,8
1234,3159.06,4
1227,3156.35,12
1160,3145.5,12
1423,3137.91,6
1156,3137.12,10
1119,3129.89,9
1445,3106.49,9
1177,3103.0,7
1093,3071.29,8
1489,3019.46,9
1314,3009.3,8
1030,2996.89,8
1336,2966.55,8
1164,2960.85,10
1114,2925.28,6
1137,2912.02,5
1428,2906.98,12
1466,2904.67,9
1152,2899.17,9
1138,2887.85,7
1047,2881.23,10
1113,2877.34,8
1260,2852.98,12
1374,2850.13,7
1344,2836.84,9
1376,2823.44,10
1175,2822.88,11
1463,2806.18,8
1483,2802.26,11
1133,2801.24,7
1482,2800.8,9
1462,2783.33,9
1147,2775.59,12
1079,2773.84,8
1393,2759.16,8
1268,2750.18,9
1281,2749.72,7
1444,2725.71,8
1402,2725.07,5
1127,2697.19,8
1419,2690.04,8
1409,2686.92,10
1291,2676.54,6
1214,2674.19,8
1029,2659.49,5
1025,2657.39,9
1378,2654.88,6
1359,2651.63,7
